Week	Index	AntCap	ExcCap	Ants	AntIns	ExcIns
9	1	5	7	0	0	2
9	2	13	11	0	3	6
9	3	14	8	0	2	3
9	4	13	16	0	3	2
9	5	9	9	0	0	1
9	6	12	9	0	5	3
9	7	15	11	3	1	3
9	8	10	6	2	1	1
9	9	14	9	0	4	2
9	10	6	27	0	0	11
9	11	12	6	1	1	2
9	12	9	1	0	0	1
9	13	10	6	5	1	34
9	14	2	13	0	0	3
9	17	8	6	1	1	1
9	21	19	9	3	0	2
9	22	4	6	0	5	1
9	23	11	9	1	1	2
9	24	27	44	2	1	5
9	25	7	6	1	2	1
9	26	16	13	1	1	4
9	27	11	8	0	3	7
9	28	7	10	1	1	5
9	29	14	7	0	0	1
9	30	11	9	3	4	0
10	1	7	11	0	0	2
10	2	28	14	1	3	6
10	3	23	14	1	2	0
10	4	16	21	1	1	1
10	5	10	11	0	2	0
10	6	10	16	0	1	0
10	7	17	13	5	0	2
10	9	17	12	0	1	1
10	10	8	27	1	0	1
10	11	15	10	0	0	2
10	12	9	1	0	2	1
10	13	3	9	3	0	4
10	14	2	13	0	0	1
10	16	4	3	1	0	2
10	17	8	8	2	2	3
10	22	4	6	0	0	1
10	23	9	8	1	1	1
10	24	53	51	5	1	1
10	25	9	6	1	1	0
10	26	17	17	0	1	1
10	27	19	12	6	1	1
10	28	11	14	4	3	7
10	29	18	9	1	1	1
10	30	16	9	0	1	2
11	1	5	8	0	0	2
11	2	19	13	0	3	0
11	3	15	9	4	1	3
11	4	15	25	1	2	0
11	5	8	9	0	1	3
11	6	12	20	0	1	3
11	7	20	13	2	0	1
11	8	10	8	1	0	2
11	11	11	9	2	1	1
11	13	1	3	1	0	2
11	14	1	13	0	0	6
11	15	2	3	1	0	1
11	16	1	2	0	0	1
11	17	2	5	1	7	5
11	21	17	7	4	0	1
11	22	3	2	1	0	1
11	24	25	24	7	0	1
11	27	16	8	6	0	5
11	28	9	13	3	2	4
11	29	11	7	1	0	2
11	30	15	7	1	3	0
12	2	16	14	0	1	0
12	3	21	6	2	0	1
12	8	11	7	0	1	0
12	28	12	17	0	0	1
12	29	11	8	0	0	1
12	30	11	4	0	1	0
13	1	2	5	0	0	2
13	4	10	22	0	0	2
13	7	15	11	3	0	1
13	8	11	8	0	0	1
13	21	8	6	0	1	2
13	24	19	38	1	0	1
13	28	9	12	2	1	2
13	29	5	6	0	1	1
14	11	9	9	0	1	0
14	13	4	6	3	0	2
14	24	10	43	0	0	1
14	28	9	15	1	0	1
15	6	14	15	0	0	1
15	8	10	6	0	1	0
15	9	7	8	0	0	1
15	10	3	15	0	0	1
15	11	16	6	2	2	1
15	14	5	14	1	1	0
15	16	2	4	0	0	1
16	2	8	11	0	1	0
16	8	12	4	0	1	0
16	9	8	6	1	0	1
16	10	2	15	0	0	3
16	11	19	10	1	2	1
16	28	4	16	0	0	1
17	2	6	10	0	0	2
17	6	12	24	0	2	0
17	7	7	12	0	1	1
17	16	2	4	0	1	0
