Time	Vertical	Average	NN1	NN2	NN3	NN4	NN5	Tide
40	274.191	308.028	73.215	108.503	137.673	152.646	168.835	124.8208
40.5	336.518	332.925	59.677	80.093	107.064	136.112	171.631	100.5684
41	292.142	333.022	65.052	97.082	124.787	141.733	160.89	78.9809
41.5	292.758	312.451	58.103	85.356	117.702	152.223	171.175	61.2221
42	269.791	290.388	62.827	94.807	113.285	133.734	150.876	48.2493
42.5	202.106	323.941	71.986	111.559	129.823	150.67	176.619	40.7619
43	303.482	305.692	69.45	105.127	131.048	155.199	170.855	39.1583
43.5	227.325	300.644	68.816	105.932	135.843	148.872	171.327	43.3804
44	317.164	272.46	87.829	124.131	144.743	162.898	183.323	53.0373
44.5	244.205	298.358	78.323	110.581	135.447	158.837	171.438	67.3697
45	177.673	266.501	64.478	97.529	122.271	139.743	152.591	85.2507
45.5	232.451	308.829	66.435	108.505	136.818	152.855	178.46	105.2743
46	308.726	306.094	69.478	105.808	129.876	149.238	168.632	125.8661
46.5	266.101	359.11	77.839	107.084	134.066	166.301	204.272	145.4069
47	369.509	313.872	67.662	108.066	139.14	155.909	176.274	162.3602
47.5	341.372	308.13	62.647	105.746	130.444	149.748	170.603	175.3931
48	390.521	327.453	65.938	104.044	145.86	172.853	200.827	183.4807
48.5	387.542	316.698	83.578	109.012	133.836	160.978	179.638	185.9877
49	374.38	330.325	72.518	117.918	136.61	155.419	174.861	182.8784
49.5	381.434	305.054	72.764	100.212	128.171	154.774	177.144	174.4984
50	374.692	279.238	71.351	99.238	127.491	144.558	168.513	161.4417
50.5	349.192	304.942	63.28	106.457	135.862	160.439	179.892	144.6334
51	309.896	327.839	67.479	97.779	125.845	155.236	180.918	125.2647
51.5	328.064	317.042	71.927	107.917	130.997	156.669	179.6	104.708
52	264.899	321.636	75.51	108.361	129.561	152.093	183.63	84.42
52.5	287.259	313.329	72.152	112.744	143.524	167.921	187.026	65.8384
53	260.655	331.108	70.58	102.113	137.626	158.019	177.254	50.2798
53.5	249.921	325.42	70.133	121.657	144.689	168.263	184.718	38.8468
54	249.463	324.292	73.559	112.13	135.989	151.859	178.853	32.3496
54.5	255.93	306.189	75.317	103.33	132.399	156.407	175.05	31.2919
55	238.741	301.042	75.361	102.452	124.694	146.54	175.483	36.439
55.5	180.29	280.975	64.785	91.17	109.167	124.689	145.929	47.7252
56	214.634	282.115	65.972	108.797	136.825	156.628	174.783	64.488
56.5	120.476	239.307	58.154	82.282	96.145	110.295	122.841	85.7431
57	147.219	263.442	74.709	101.136	123.22	147.678	160.421	110.2425
57.5	173.745	273.265	66.294	93.412	112.619	128.62	150.77	136.5479
58	142.464	280.884	64.119	89.402	113.19	128.288	142.169	163.1147
58.5	109.697	216.872	46.277	68.904	86.988	97.53	112.283	188.383
59	170.52	307.562	73.266	109.973	131.913	152.473	170.666	210.8693
59.5	222.402	349.487	85.528	131.368	162.719	186.7	221.332	229.2533
60	281.158	323.876	67.481	106.36	125.589	152.986	172.849	242.4555
60.5	343.208	334.104	63.066	98.575	127.16	148.43	163.93	249.7009
61	340.535	330.768	62.63	101.189	141.675	157.457	175.408	250.6144
61.5	307.98	339.7	73.779	97.984	127.291	159.675	193.306	245.6842
62	259.9	371.244	75.602	97.169	130.428	158.179	184.393	235.3261
62.5	294.458	343.568	62.38	99.128	119.556	147.904	172.574	220.0985
63	302.822	294.789	59.591	81.45	115.596	137.515	153.998	200.8224
63.5	301.352	322.571	70.687	107.773	130.481	156.709	181.724	178.5368
64	196.98	329.247	58.343	124.328	149.627	172.856	196.539	154.4433
64.5	237.405	325.076	66.756	103.23	120.945	147.432	182.51	129.8406
65	253.397	358.612	75.099	120.491	154.742	188.318	228.131	106.0552
65.5	240.334	322.063	79.272	128.751	152.971	179.628	207.364	84.3694
66	269.073	263.253	59.284	96.853	119.936	136.79	155.001	65.9522
66.5	156.04	252.692	57.334	84.302	105.953	122.966	141.479	51.7964
67	277.627	300.311	71.371	90.387	121.057	145.905	163.906	42.6653
67.5	219.08	261.225	54.895	82.193	98.812	118.401	133.542	39.051
68	152.397	266.005	76.978	100.706	118.981	135.816	147.82	41.0763
68.5	139.997	265.181	66.028	104.006	123.594	142.701	153.472	48.4683
69	152.896	263.3	60.512	88.29	105.876	128.55	141.604	60.6741
69.5	175.407	235.691	62.866	82.355	101.82	118.336	133.46	76.7831
70	179.849	227.749	57.834	81.954	99.173	113.157	126.281	95.5936
70.5	247.785	268.042	55.564	96.4	109.134	125.987	141.768	115.7026
71	186.136	296.518	72.358	96.671	129.206	155.318	175.153	135.61
71.5	227.529	322.249	67.715	99.25	138.208	157.255	172.723	153.8308
72	233.764	275.169	77.955	99.221	123.935	139.832	155.644	169.0059
72.5	275.376	350.684	66.247	97.037	130.35	188.289	215.103	180.0032
73	270.28	300.666	65.978	110.525	133.862	150.932	167.654	186.0024
73.5	221.533	257.967	57.85	84.273	99.785	120.341	144.362	186.5932
74	211.285	259.621	55.284	86.991	110.504	133.132	148.684	182.07
74.5	207.352	307.044	72.387	102.001	131.28	153.824	172.015	172.8384
75	176.272	285.913	55.223	95.604	119.979	138.703	158.755	159.5564
75.5	199.32	285.214	73.362	90.463	108.825	130.29	147.812	143.1705
76	196.81	243.243	59.617	82.447	96.888	114.155	127.083	124.8484
76.5	172.09	258.869	51.517	73.077	103.378	118.979	133.825	105.8957
77	186.553	279.183	63.727	88.136	106.628	129.005	151.132	87.663
77.5	215.642	302.615	50.393	81.291	106.913	130.688	158.522	71.4497
78	189.841	277.191	57.854	89.138	109.46	127.286	140.337	58.4112
78.5	207.675	280.353	55.636	92.375	112.672	130.558	146.793	49.4766
79	210.477	296.688	57.414	88.888	108.773	127.858	142.083	45.2826
79.5	186.962	261.991	57.108	81.078	106.805	122.12	137.343	46.2889
80	173.771	261.03	51.08	71.162	98.813	114.947	129.361	52.9602
80.5	182.941	275.64	52.31	78.523	103.414	123.17	141.343	64.9305
81	122.283	227.826	62.053	79.914	92.856	107.636	117.577	81.471
81.5	165.426	250.219	59.499	84.363	99.485	120.034	131.614	101.5748
82	153.477	270.727	60.869	80.342	104.477	121.698	137.999	124.018
82.5	155.183	242.234	56.582	76.81	92.118	103.428	118.913	147.4341
83	184.335	271.578	57.165	79.98	99.436	122.045	140.888	170.3976
83.5	231.935	289.168	65.086	98.072	126.737	143.626	159.799	191.5105
84	177.749	285.636	66.659	97.705	116.685	138.645	154.663	209.4875
84.5	220.613	285.16	58.534	77.778	94.93	122.277	142.899	223.234
85	163.548	273.449	60.313	94.267	114.693	140.237	155.75	231.9133
85.5	157.446	250.191	57.943	81.32	98.104	111.346	133.402	234.9967
86	187.686	294.427	69.321	99.283	118.513	135.871	149.311	232.5313
86.5	144.143	271.397	69.503	93.752	108.147	122.209	141.248	224.9171
87	191.857	267.346	60.58	93.556	118.948	135.31	156.314	212.567
87.5	219.888	329.492	63.429	88.686	107.89	124.484	143.173	196.15
88	154.559	246.697	53.505	80.813	102.198	115.534	131.431	176.5556
88.5	162.029	296.948	68.224	100.145	117.207	141.501	168.644	154.8453
89	193.604	291.563	74.49	98.561	122.692	140.459	156.171	132.1953
89.5	143.839	249.209	55.854	92.41	113.08	128.854	146.771	109.8327
90	180.935	276.321	59.143	85.494	102.069	118.762	146.31	88.969
90.5	175.16	276.744	65.019	93.907	111.328	128.189	139.236	70.7346
91	154.46	327.078	76.435	100.586	140.129	156.201	185.103	56.1172
91.5	174.609	263.613	66.366	97.146	115.585	132.283	145.959	45.9088
92	140.988	242.575	55.942	83.504	99.469	112.716	126.16	40.6625
92.5	118.089	266.666	62.183	78.28	95.255	110.63	119.868	40.6409
93	204.922	264.48	67.033	91.534	113.405	124.538	142.246	45.7022
93.5	175.248	300.165	60.137	86.117	112.65	132.405	148.287	55.478
94	148.993	266.073	54.353	92.99	113.2	130.867	145.999	69.2983
94.5	189.646	297.442	74.642	95.083	128.119	145.612	167.22	86.2161
95	130.916	281.369	60.994	109.131	130.386	151.216	168.632	105.0722
95.5	217.825	310.566	72.788	98.687	124.935	147.243	172.052	124.5742
96	200.185	317.703	72.606	108.524	127.854	146.981	160.79	143.3859
96.5	248.481	304.87	67.582	97.94	121.403	156.95	173.88	160.2182
97	254.357	382.643	67.2	94.361	127.385	165.531	201.231	173.9176
97.5	225.32	316.63	67.42	108.098	127.218	165.225	188.272	183.5453
98	283.718	302.878	73.042	116.648	141.345	156.481	178.841	188.4416
98.5	255.07	348.677	65.791	99.359	129.215	162.028	184.874	188.3523
99	235.353	329.638	66.433	98.978	127.87	153.924	182.005	183.7114
99.5	196.143	332.568	66.261	94.991	141.531	167.428	187.854	174.9101
100	237.835	314.887	59.233	106.353	124.393	161.044	181.099	162.5721
100.5	178.751	290.505	62.854	88.165	112.578	131.871	146.808	147.5718
101	191.008	310.302	65.527	106.365	126.855	144.787	163.413	130.9719
101.5	195.092	328.473	69.812	105.821	131.886	158.113	186.208	113.9488
102	187.053	338.782	92.836	125.513	150.337	180.375	207.961	97.7089
102.5	167.859	331.516	71.379	102.548	129.298	153.017	176.727	83.4028
103	162.212	268.485	78.661	101.25	115.221	131.605	145.444	72.0444
103.5	208.189	349.491	76.304	122.167	144.172	178.384	208.13	64.4386
104	208.403	333.687	75.105	119.211	153.379	172.844	192.129	61.1241
104.5	234.292	324.044	68.463	107.905	139.965	158.924	176.55	62.4558
105	253.392	370.989	77.345	107.72	140.248	171.8	203.706	68.6254
105.5	208.77	321.101	63.778	110.311	128.335	154.806	172.597	79.2481
106	190.722	295.962	71.069	101.398	131.606	144.139	166.195	93.642
106.5	170.749	352.647	75.277	113.019	138.455	164.061	180.83	110.8831
107	203.169	384.183	62.454	98.473	131.381	159.352	183.919	129.8649
107.5	184.71	365.757	78.995	111.652	140.337	162.241	188.344	149.3688
108	191.417	300.988	72.959	111.026	144.254	158.508	177.679	168.143
108.5	185.123	315.219	63.35	107.21	130.669	152.559	173.433	184.9824
109	175.065	286.396	60.564	106.435	135.187	159.052	170.657	198.806
109.5	133.098	312.007	66.293	103.755	127.955	146.509	160.083	208.7265
110	157.343	303.491	60.354	84.481	105.436	138.442	158.844	214.1073
110.5	240.687	317.779	66.146	107.206	141.002	158.638	177.418	214.6177
111	217.464	351.01	66.467	108.288	144.208	163.11	177.661	210.3556
111.5	257.382	303.323	50.697	80.258	102.779	129.51	153.36	201.5874
112	213.118	304.185	71.353	105.445	124.509	141.795	163.457	188.7929
112.5	163.883	318.001	61.076	101.325	131.069	147.863	165.619	172.6723
113	124.613	298.472	68.413	102.861	122.584	136.79	158.761	154.1074
113.5	153.003	283.575	61.846	110.776	130.802	145.5	164.522	134.114
114	114.534	287.147	60.466	92.352	116.401	130.422	145.05	113.7862
114.5	209.28	339.315	55.091	95.835	117.609	135.97	156.027	94.236
115	287.603	353.959	66.711	132.206	167.154	190.162	218.72	76.5332
115.5	307.812	387.906	58.917	87.894	120.464	154.474	169.693	61.6464
116	258.633	373.774	71.412	121.711	152.696	183.416	202.689	50.3901
116.5	268.215	323.826	68.449	95.38	125.819	147.854	164.873	43.3801
117	304.769	362.396	82.774	121.675	146.339	165.663	192.918	41
117.5	254.634	350.386	76.8	103.85	132.477	162.573	181.447	43.3103
118	287.959	400.579	75.066	111.42	158.315	189.952	223.172	50.0997
118.5	294.474	351.106	64.069	104.903	126.655	152.028	170.84	60.9528
119	317.011	400.458	78.852	124.307	157.791	190.196	207.979	75.2054
119.5	385.395	332.277	63.881	100.821	124.291	146.641	169.72	91.9852
120	415.085	323.997	63.691	102.925	128.972	155.23	182.533	110.2653
120.5	337.176	345.907	77.406	111.854	147.538	172.806	192.042	128.9269
121	324.625	317.856	69.017	104.899	127.944	153.497	169.015	146.828
121.5	327.294	326.622	73.643	106.147	123.361	158.92	181.529	162.8731
122	365.449	319.369	79.559	111.555	138.858	155.734	180.599	176.0801
122.5	373.931	276.012	58.146	91.155	119.452	150.982	161.896	185.6409
123	370.931	322.157	82.847	116.208	137.015	153.644	178.402	190.9703
123.5	332.84	353.096	78.843	100.112	128.828	152.162	175.588	191.773
124	388.461	296.206	52.184	80.196	104.62	127.676	161.802	188.404
124.5	323.161	359.121	68.018	94.285	124.699	143.062	162.637	181.2228
125	322.633	312.091	61.696	100.798	126.269	148.272	166.953	170.7328
125.5	356.973	348.221	75.398	102.371	130.088	146.157	162.121	157.6689
126	291.39	363.665	68.503	98.558	140.546	170.934	189.285	142.9464
126.5	319.623	315.314	66.529	94.443	135.725	157.81	186.11	127.5971
127	316.34	346.926	64.51	94.745	133.508	155.666	193.285	112.6965
127.5	376.111	290.756	60.723	90.617	119.602	141.367	159.24	99.2886
128	339.805	331.63	79.522	123.171	147.728	170.933	190.227	88.3129
128.5	291.322	391.342	76.376	116.468	145.046	167.926	191.788	80.5386
129	314.73	405.21	76.385	108.818	134.516	163.757	188.083	76.5103
129.5	242.118	375.181	64.721	99.163	140.29	167.029	192.763	76.5061
130	251.093	351.147	69.326	103.75	134.323	152.236	175.712	80.5023
130.5	264.22	326.718	79.739	113.241	133.96	151.166	170.37	88.2194
131	303.959	349.601	57.346	94.262	123.493	144.489	164.763	99.1255
131.5	357.403	322.355	62.679	96.376	119.867	139.456	166.318	112.4692
132	262.831	318.321	60.827	93.139	123.91	149.16	168.791	127.331
132.5	263.673	320.771	72.68	103.18	130.97	150.779	174.036	142.6868
133	252.374	317.159	57.992	85.799	134.706	158.105	184.178	157.4785
133.5	304.576	352.983	61.774	91.146	121.177	147.679	171.41	170.6867
134	291.108	322.013	73.298	103.78	137.986	159.691	176.197	181.4015
134.5	292.597	266.289	61.967	87.514	112.275	149.73	166.816	188.8844
135	297.766	307.33	70.294	99.034	124.776	164.835	194.159	192.6197
135.5	284.398	333.447	73.914	109.038	129.493	155.67	184.563	192.3291
136	298.774	329.086	81.808	131.523	157.477	180.23	194.61	187.9229
136.5	315.839	337.877	67.638	103.492	134.433	154.401	180.223	179.6333
137	343.187	332.632	54.445	87.147	126.836	152.969	175.725	167.9209
137.5	289.137	331.056	74.378	113.332	143.34	174.35	199.699	153.4361
138	290.797	308.291	55.375	97.053	124.786	148.364	172.588	136.9833
138.5	279.514	317.441	91.713	131.054	163.23	196.467	220.48	119.4762
139	261.545	365.522	79.576	121.121	139.409	163.269	186.64	101.8872
139.5	265.578	371.784	76.469	121.187	188.354	214.342	244.093	85.193
140	287.241	309.697	54.478	93.618	130.531	150.832	168.122	70.3207
140.5	268.291	267.382	74.136	104.179	133.107	151.27	177.626	58.0964
141	318.715	340.108	63.319	96.303	117.58	154.932	190.418	49.1989
141.5	303.255	354.48	73.313	105.263	147.527	175.746	196.662	44.1224
142	329.839	325.567	59.133	112.973	133.746	162.536	178.788	43.1539
142.5	386.501	316.863	71.73	120.214	149.105	160.521	179.796	46.4482
143	344.738	296.932	73.989	103.103	132.063	153.606	179.292	53.8621
143.5	377.882	299.213	72.288	106.559	130.746	156.095	171.559	64.9862
144	371.765	338.326	66.073	97.341	136.345	166.824	210.442	79.2055
144.5	354.654	283.668	53.589	93.271	114.306	141.724	158.086	95.7344
145	305.906	287.316	70.177	107.342	127.366	149.778	168.673	113.6596
145.5	260.757	320.676	79.402	116.396	153.651	175.687	190.495	131.9903
146	389.413	337.976	60.945	121.028	149.087	166.674	185.235	149.7137
146.5	415.001	271.106	62.854	98.035	120.549	150.149	175.432	165.8504
147	333.616	332.555	74.522	114.233	142.163	168.992	199.895	179.5087
147.5	405.428	280.947	72.938	102.939	138.824	165.248	183.929	189.9337
148	378.339	288.1	81.372	108.525	131.776	160.074	175.82	196.5495
148.5	377.72	290.613	62.912	97.686	127.379	154.192	184.425	198.9904
149	301.069	330.724	70.896	105.434	146.064	171.364	199.911	197.3705
149.5	411.992	312.792	90.549	130.545	173.659	205.231	228.99	192.1178
150	362.046	346.737	80.027	121.287	144.902	191.051	221.678	183.5779
150.5	358.46	308.357	71.136	131.378	157.097	175.126	200.906	172.3111
151	302.484	362.055	75.141	139.46	164.905	197.003	226.041	159.0562
151.5	329.326	283.931	62.798	91.336	129.038	150.114	185.102	144.6826
152	334.202	329.244	78.363	131.229	155.988	188.112	230.443	130.1331
152.5	297.285	348.269	75.693	123.842	146.221	183.6	211.603	116.3619
153	271.069	332.692	66.189	113.467	153.952	180.67	201.877	104.2723
153.5	338.162	334.919	96.608	127.941	163.597	210.363	259.594	94.6571
154	273.268	377.58	79.14	130.314	186.613	217.725	243.61	88.1471
154.5	320.369	389.501	101.869	162.407	205.296	241.825	299.43	85.1691
155	294.093	333.67	93.456	122.72	160.963	204.189	239.205	85.8206
155.5	325.086	298.007	89.131	121.733	153.729	177.793	216.639	89.7673
156	277.369	314.982	100.134	151.079	189.381	214.511	264.149	96.695
156.5	267.96	334.167	85.601	117.202	139.63	188.088	231.083	106.084
157	291.671	307.815	77.699	123.747	169.118	197.36	216.519	117.2298
157.5	280.707	342.976	81.629	123.006	173.927	206.426	237.392	129.2962
158	287.778	371.068	111.42	162.02	225.781	264.169	294.858	141.3779
158.5	390.166	276.56	80.348	140.609	160.478	192.346	215.642	152.5685
159	378.9	288.49	127.473	159.222	191.012	215.24	236.522	162.0282
159.5	302.116	360.466	105.725	156.465	218.955	234.466	266.878	169.0475
160	340.894	309.864	87.955	116.575	171.845	228.089	262.841	173.0996
160.5	385.871	324.874	82.361	127.449	154.31	186.132	215.523	173.8651
161	448.846	293.881	79.441	139.168	163.809	185.455	218.999	170.9785
161.5	401.612	295.771	76.052	144.444	194.466	216.602	236.032	164.4899
162	257.136	352.079	119.414	181.2	222.415	285.025	319.24	154.7765
162.5	345.191	341.856	77.477	134.658	204.943	247.053	278.813	142.4026
163	321.987	319.21	125.027	169.419	197.852	219.245	253.191	128.0876
163.5	419.505	284.744	83.831	134.892	174.395	224.565	265.173	112.6632
164	315.801	331.988	100.722	150.873	191.694	284.882	319.329	97.026
