Time	Magnitude	SD
420.5493	0.01578	0.01425
421.4581	0.07448	0.01508
421.6132	-0.04764	0.01359
422.4321	0.09345	-0.01534
422.5381	0.0404	0.0146
423.5893	-0.05289	-0.01426
423.6027	-0.05637	0.01347
425.4282	0.07448	0.01508
425.5317	0.02424	0.01437
426.4333	0.08143	0.01517
426.5862	0.003691	0.01417
427.5919	-0.05289	0.01337
428.4244	0.07746	-0.01521
430.5342	0.01391	-0.01432
432.6607	-0.1169	0.0126
435.4159	0.05974	0.01487
436.4257	0.07448	-0.01508
436.5634	-0.01825	0.01377
437.4087	0.06463	-0.01494
438.4115	0.05779	-0.01494
438.5918	-0.07445	-0.01307
439.4098	0.05584	0.01481
441.5087	-0.02096	-0.01374
441.641	-0.2316	0.01085
442.4852	-0.009168	-0.0139
442.6292	-0.1621	0.01176
444.4035	0.06856	0.01499
444.5451	-0.05898	0.01329
445.4655	-0.01644	-0.01389
446.4193	0.05293	0.01477
446.5605	-0.08547	-0.01283
451.3998	0.02991	0.01445
451.5387	-0.1096	0.01257
452.391	0.04616	0.01468
452.6517	-0.3233	0.009657
453.4415	-0.01099	0.01397
453.5864	-0.2505	0.01058
454.4315	0.002766	0.01416
455.6552	-0.4674	-0.00771
457.498	-0.1112	-0.01255
459.4674	-0.06675	0.01332
460.3915	0.02612	0.01485
460.5107	-0.112	0.01285
461.4303	-0.02636	0.01375
462.4145	-0.000921	0.01411
463.4214	-0.03706	0.0136
463.5392	-0.2428	0.01069
464.5412	-0.2071	0.0112
465.435	-0.06503	-0.01312
466.4366	-0.04676	-0.01346
469.4124	-0.07189	0.01324
470.3807	-0.03261	-0.01366
471.3838	-0.1338	-0.01277
472.3809	-0.0753	-0.0132
473.384	-0.1362	-0.0125
473.4902	-0.2498	0.01053
474.386	-0.2601	-0.0114
474.5137	-0.2682	0.01033
475.3798	-0.03528	-0.01362
475.4861	-0.2736	0.01026
476.3734	-0.05376	-0.01336
476.475	-0.1968	0.01127
477.3713	-0.2601	-0.01554
477.4741	-0.2675	0.01034
478.3864	-0.04589	0.01339
478.4909	-0.2511	0.01057
480.3825	-0.05984	0.01319
481.5376	-0.4795	0.007349
483.4636	-0.322	0.009573
483.5678	-0.4474	0.007885
484.4	-0.1096	0.01271
484.5338	-0.3868	0.008659
485.3856	-0.1536	0.01195
486.4362	-0.2245	0.01107
488.4463	-0.2888	0.0103
489.3907	-0.3195	-0.01049
491.3763	-0.1954	0.01136
492.5368	-0.3369	0.009463
494.3795	-0.1954	0.01136
495.3609	-0.2108	0.01114
499.3876	-0.3387	0.009573
500.3677	-0.2252	0.01094
501.3668	-0.2927	0.009987
502.362	-0.2407	0.01065
503.3626	-0.3177	0.009635
504.3712	-0.3024	0.009955
504.8251	0.05779	0.01484
507.4055	-0.4757	0.00759
508.5039	-0.2202	0.01129
509.4896	-0.3252	0.0104
510.4249	-0.3696	0.008901
511.3694	-0.4418	0.007882
511.821	0.08044	-0.01516
512.3507	-0.3227	0.009564
517.3519	-0.4881	0.00789
517.7714	0.05487	0.0149
518.7798	0.05487	0.0149
519.7637	0.04616	-0.01493
520.3607	-0.3777	0.008787
520.7646	0.04906	0.01481
521.3546	-0.4862	0.007255
521.7825	0.06561	0.01505
522.3513	-0.4139	0.009273
522.7651	0.01859	-0.01611
523.3501	-0.49	0.007384
527.8367	0.09144	0.01557
528.7658	0.01485	-0.01651
529.3496	-0.4224	0.008156
529.7618	0.07349	0.01506
530.3574	-0.3088	0.00976
531.351	-0.3811	0.01104
532.3784	-0.2594	0.01115
533.3553	-0.3549	0.009109
533.8123	0.07845	0.01539
534.3562	-0.2729	0.01038
538.3486	-0.2573	0.01175
538.7656	0.07251	0.01514
539.3908	-0.1916	0.01141
539.7386	0.07053	0.01512
540.3529	-0.2144	0.01109
540.7596	0.08943	0.01529
541.3515	-0.2463	0.01076
541.7463	0.07547	0.01519
542.4023	-0.1242	0.0125
542.7238	0.07746	0.01521
544.8412	0.07349	0.01532
546.3508	-0.1346	0.01302
546.7625	0.07746	-0.01521
548.7563	0.07547	0.01557
549.3481	-0.1781	0.01161
553.3529	-0.1274	0.01232
555.741	0.07845	0.01513
556.7059	0.07251	0.01514
557.3549	-0.09134	0.01283
557.6738	0.07746	0.01512
558.3693	-0.1128	0.02321
558.8196	0.03371	-0.0146
559.7516	0.0539	0.01488
559.8354	0.05196	0.01485
560.6526	0.05974	0.01512
560.8134	0.05003	0.01483
561.3657	-0.0406	-0.01355
561.7233	0.06072	0.01498
562.3624	-0.03795	0.01358
563.3527	-0.0555	0.01334
563.7568	0.05196	0.01485
565.6417	0.06856	0.01509
566.6501	0.06856	0.01499
571.664	0.08143	0.01527
571.8326	0.02329	0.01436
572.6138	0.05584	0.01491
573.6482	0.0452	0.01476
573.8404	0.004615	0.01419
576.6978	0.0539	0.01488
578.6115	0.01953	0.01503
578.8405	-0.02904	0.01371
580.6323	0.06365	0.01502
580.831	-0.02815	0.01372
581.6309	0.05584	0.01491
585.6196	0.04713	0.01494
585.8258	-0.02546	0.01376
586.5983	0.05877	0.01495
586.8236	-0.0736	0.01322
587.6096	0.06072	0.01498
587.8267	-0.05463	0.01335
588.6483	0.03276	0.01458
589.7614	-0.005511	-0.0144
591.7509	0.005541	0.01435
592.5896	0.02991	0.01491
592.8088	-0.1005	0.0127
593.576	0.02802	0.01467
593.8075	-0.05984	0.01328
594.5856	0.0617	-0.0149
595.5757	0.06561	0.01495
595.8147	-0.08125	0.01297
596.5923	-0.000921	-0.01472
597.683	0.0009209	-0.01475
597.8111	-0.09967	0.01285
598.5727	0.02518	0.01448
599.5576	0.05487	0.0148
600.5596	0.02329	0.01445
601.5452	0.02424	0.01446
602.7586	-0.0633	0.01323
