Time	Magnitude	SD
484.525	0.3207	-0.01865
485.3768	0.1825	-0.0167
486.4098	0.0666	0.01522
488.4375	-0.141	0.01266
489.3818	-0.2223	0.01098
491.3675	-0.1743	0.01178
492.528	-0.02725	-0.01388
494.3704	0.1825	0.0167
495.3521	0.005542	-99
497.3512	0.3527	0.0191
499.3788	0.0985	0.0159
500.3589	-0.04325	0.01351
501.358	-0.137	0.01219
502.3934	-0.2122	0.01112
503.3527	-0.2365	-0.01089
504.3569	-0.1827	0.01166
504.8163	-0.1282	0.01262
507.3967	0.1231	0.01626
508.4951	0.4151	0.02049
509.48	0.4955	0.02134
510.416	0.374	-0.0194
511.3531	0.2246	0.01729
511.8122	0.1749	0.01659
512.3419	0.1066	-0.01563
515.4044	-0.1983	0.01161
517.3567	-0.2137	-0.01244
517.7624	-0.1574	0.01299
518.771	-0.03706	0.01449
519.7548	-0.00184	-0.01579
520.3519	0.07746	0.01521
520.7558	0.2045	0.01775
521.3458	0.423	-0.01996
522.3423	0.4602	-0.02447
522.7563	0.4296	-0.03521
523.3412	0.3753	0.01942
524.8136	0.1652	0.01663
527.8278	-0.1621	-0.01544
528.757	-0.2195	-0.01806
529.3408	-0.2351	0.01092
529.753	-0.2273	0.01103
530.3485	-0.1976	-0.01145
531.3421	-0.08631	0.01375
532.3878	-0.003677	-0.01468
533.3466	0.03944	0.01483
533.8035	0.1598	0.01679
534.3461	0.3919	0.02015
538.3398	0.1366	-0.01849
538.7568	0.05877	0.0156
539.382	0.02047	-0.01456
539.7298	-0.01372	0.01454
540.3441	-0.09051	0.01284
540.7508	-0.1306	0.01241
541.3425	-0.1759	-0.01176
541.7375	-0.2086	0.01146
542.3935	-0.2302	0.01114
542.715	-0.233	0.01154
543.4146	-0.2358	0.01768
544.8323	-0.0494	0.01376
545.8076	-0.01008	0.01398
546.3419	0.02518	0.01484
546.7535	0.1036	0.01558
548.7339	0.5094	0.02225
549.3392	0.4022	0.0198
553.3441	-0.0633	-0.01337
555.6757	-0.2302	0.01135
556.6965	-0.1954	0.01165
557.3459	-0.1489	0.01215
557.6644	-0.07445	0.01321
558.3595	-0.00184	0.01502
558.8109	-0.0009201	0.01411
559.7428	0.0617	0.01565
559.831	0.09547	0.01547
560.6437	0.3906	0.02093
560.7698	0.4296	0.02019
561.3563	0.5234	0.02151
561.7139	0.4997	0.0214
562.3528	0.4468	0.02043
563.3439	0.3219	0.01867
563.7478	0.2405	0.01796
565.3679	0.05877	0.01511
565.6329	0.008324	0.0146
566.6413	-0.09134	0.01297
568.8152	-0.2295	0.01136
571.6551	-0.01644	0.01404
571.8237	-0.01372	0.01393
572.605	0.02802	0.01467
573.6393	0.3791	0.01968
573.8315	0.4428	0.02037
576.6665	0.2729	0.01816
576.7971	0.2417	0.01753
577.8331	0.1293	0.01664
578.6018	0.01672	0.01567
578.822	-0.003677	0.01422
578.8316	0.007396	0.01438
580.6235	-0.1481	0.01256
580.8222	-0.1789	0.01172
581.6221	-0.2238	0.01124
584.8008	-0.008255	0.01662
585.6108	0.02991	0.01518
585.817	0.04328	0.01473
586.5894	0.3243	0.01917
586.8148	0.4035	0.02032
587.6005	0.4846	0.02118
587.8179	0.5276	0.02157
588.6314	0.4243	0.02011
589.7524	0.2729	-0.022
591.7407	0.02424	0.01542
592.5808	-0.05637	0.0142
592.7999	-0.09134	0.01315
593.5667	-0.152	-0.01421
593.7986	-0.1774	0.01174
594.5767	-0.2245	0.01107
595.5666	-0.2323	0.01096
595.8057	-0.2245	-0.01107
596.5834	-0.1145	-0.018
597.6674	0.005542	-99
597.7841	-0.02006	0.01398
597.8022	-0.03439	0.01378
598.5636	-0.01099	0.01432
599.5488	0.2156	0.01735
600.5507	0.4818	0.02115
601.5289	0.4723	0.02101
601.8234	0.4348	0.02026
602.7496	0.2918	0.01843
603.7822	0.1545	0.0163
