Quarter	Food	Clothing	Housing	Household	Transportation	TobAlc	Health	RecEduc	All
Mar.1979	41.9	48.0	42.7	43.6	39.0	39.6	40.6	NA	42.1
Jun.1979	43.5	49.3	43.0	44.0	40.4	39.7	41.1	NA	43.0
Sep.1979	44.9	49.9	43.7	45.0	41.6	40.6	41.6	NA	44.0
Dec.1979	46.5	50.7	44.8	45.7	43.2	41.0	46.5	NA	45.4
Mar.1980	49.7	51.1	45.6	46.5	43.4	41.4	47.5	NA	46.6
Jun.1980	50.2	52.6	46.3	47.9	45.5	42.4	48.0	NA	47.7
Sep.1980	50.8	53.0	47.8	49.7	45.5	43.2	49.3	NA	48.5
Dec.1980	52.7	54.0	48.6	50.9	46.3	43.6	50.9	NA	49.6
Mar.1981	54.2	54.7	49.8	51.7	47.1	44.1	52.0	NA	50.6
Jun.1981	55.2	56.1	50.8	52.4	50.1	44.9	52.4	NA	52.0
Sep.1981	56.7	56.6	53.0	54.0	50.0	46.6	53.1	NA	53.2
Dec.1981	57.9	58.7	54.6	56.1	53.0	47.7	58.9	NA	55.2
Mar.1982	58.7	59.5	56.7	56.7	54.8	48.4	60.1	57.5	56.5
Jun.1982	59.2	60.8	58.4	58.8	54.3	49.7	61.3	57.8	57.3
Sep.1982	60.8	61.7	60.9	60.5	57.4	52.0	61.8	59.4	59.2
Dec.1982	62.9	62.9	63.0	62.1	58.4	54.3	67.8	60.8	61.2
Mar.1983	64.4	63.6	64.0	63.2	60.1	54.9	72.2	62.9	62.7
Jun.1983	66.5	65.0	64.3	63.9	59.9	55.8	72.6	63.9	63.5
Sep.1983	67.5	65.1	65.2	65.9	62.6	56.6	73.3	64.8	64.9
Dec.1983	68.3	66.5	66.9	66.7	65.0	59.1	73.9	64.9	66.2
Mar.1984	69.1	67.0	67.6	67.6	65.1	60.0	65.4	65.8	66.4
Jun.1984	69.0	68.4	68.0	68.5	67.0	61.8	60.6	65.8	66.9
Sep.1984	70.3	68.4	69.7	70.1	67.7	62.4	60.3	66.8	67.8
Dec.1984	71.1	70.1	70.5	70.1	67.7	63.3	61.9	67.6	68.5
Mar.1985	72.5	70.3	71.1	71.2	69.0	63.7	63.1	69.0	69.6
Jun.1985	73.2	71.9	71.7	72.6	71.2	64.7	64.0	70.1	70.8
Sep.1985	74.5	72.8	72.7	74.8	73.8	66.6	65.9	72.6	72.6
Dec.1985	76.3	75.8	73.6	77.2	74.4	67.7	66.6	73.8	74.0
Mar.1986	78.4	76.5	74.7	78.9	76.4	69.4	69.1	75.4	75.8
Jun.1986	80.1	79.5	75.2	80.4	74.9	70.6	72.5	75.9	76.6
Sep.1986	82.1	80.1	76.0	81.2	78.3	72.0	73.3	78.7	78.5
Dec.1986	83.3	83.4	76.9	82.6	82.1	73.5	78.5	80.6	80.6
Mar.1987	84.9	83.7	77.6	83.9	84.5	75.7	80.4	83.3	82.3
Jun.1987	83.4	86.0	78.4	86.1	85.9	77.8	81.6	84.4	83.3
Sep.1987	84.4	86.8	79.4	87.4	87.0	79.6	82.0	86.4	84.5
Dec.1987	85.5	90.0	80.4	88.7	89.5	81.6	84.7	86.4	86.1
Mar.1988	87.2	90.0	80.7	90.4	90.0	82.8	88.6	90.4	87.6
Jun.1988	89.7	92.4	82.7	91.9	90.8	84.4	89.8	91.9	89.3
Sep.1988	91.7	92.9	84.5	93.1	92.3	85.7	89.9	92.2	90.6
Dec.1988	92.5	95.6	88.7	95.2	92.3	87.3	90.2	94.1	92.2
Mar.1989	94.5	95.6	88.2	95.6	92.8	93.5	95.8	94.6	93.5
Jun.1989	97.8	98.0	91.9	96.6	95.1	95.5	96.7	96.3	95.8
Sep.1989	99.4	97.8	96.4	97.8	97.1	97.4	96.8	97.1	97.6
Dec.1989	98.9	100.6	99.7	99.7	99.2	98.6	97.9	99.7	99.3
Mar.1990	99.8	100.0	101.2	100.5	101.6	101.1	102.1	101.0	100.8
Jun.1990	102.0	101.6	102.6	102.0	102.1	103.0	103.2	102.1	102.2
Sep.1990	100.7	102.4	103.2	103.4	103.0	104.8	103.6	102.7	102.8
Dec.1990	101.9	105.7	105.1	105.0	109.4	106.6	105.3	105.1	105.4
Mar.1991	105.9	106.2	104.1	106.0	105.2	107.2	109.2	105.0	105.7
Jun.1991	104.9	106.9	104.0	106.4	105.0	109.0	109.7	104.7	105.7
Sep.1991	104.5	106.3	102.7	106.4	108.0	109.5	110.9	105.0	106.1
Dec.1991	105.4	105.9	103.2	107.1	109.2	109.7	117.2	107.0	107.3
Mar.1992	106.3	105.7	101.6	106.9	109.2	110.6	122.1	106.1	107.5
Jun.1992	106.2	106.2	100.3	107.3	108.6	112.3	117.7	105.2	107.0
Sep.1992	105.7	105.6	99.3	106.4	110.6	113.1	116.8	105.7	106.9
Dec.1992	107.2	107.5	99.0	105.7	110.1	125.9	116.2	106.7	108.1
Mar.1993	109.4	106.7	100.0	105.8	110.6	126.3	120.6	108.0	109.1
Jun.1993	108.7	107.4	100.5	107.0	111.4	128.4	121.3	108.5	109.7
Sep.1993	109.4	106.3	100.4	106.1	111.8	130.7	121.2	108.9	109.9
Dec.1993	110.1	105.6	99.8	106.5	112.3	131.8	120.5	110.2	110.2
Mar.1994	111.2	105.5	100.1	107.1	112.0	132.2	124.0	111.2	110.8
Jun.1994	110.2	105.4	100.7	107.2	113.8	134.1	124.6	113.5	111.5
Sep.1994	110.7	105.3	101.1	107.9	115.8	136.5	128.5	113.5	112.5
Dec.1994	111.0	106.3	104.0	109.1	115.4	138.4	128.4	115.5	113.7
Mar.1995	114.1	105.5	109.0	109.2	116.7	140.9	131.8	117.2	115.8
Jun.1995	114.5	105.9	110.7	110.6	117.4	144.1	133.6	117.0	116.9
Sep.1995	115.4	105.3	111.4	111.6	120.1	145.6	134.1	116.8	117.9
Dec.1995	115.8	104.9	112.1	112.4	120.1	150.6	134.7	116.4	118.6
Mar.1996	117.0	105.1	112.1	112.7	120.5	152.6	137.2	119.7	119.6
Jun.1996	117.8	105.8	112.5	113.7	122.1	154.7	137.4	119.3	120.4
Sep.1996	117.7	105.3	112.4	114.5	122.2	155.1	138.2	119.3	120.6
Dec.1996	118.0	105.1	109.6	114.7	123.3	159.9	138.5	119.4	120.8
Mar.1997	119.8	104.8	106.4	115.1	124.4	162.3	144.8	122.1	121.5
Jun.1997	119.9	105.8	103.0	115.7	123.7	162.3	146.8	122.3	121.1
Sep.1997	118.7	105.3	102.4	115.6	123.7	162.9	143.8	122.8	120.7
