Year	Period	Rainfall
1841	31	0
1841	32	30
1841	33	18
1841	34	0
1841	35	18
1841	36	50
1841	37	80
1841	38	78
1841	39	39
1841	40	16
1841	41	34
1841	42	5
1841	43	125
1841	44	11
1841	45	58
1841	46	10
1841	47	5
1841	48	40
1841	49	27
1841	50	0
1841	51	34
1841	52	16
1841	53	4
1841	54	2
1841	55	0
1841	56	64
1841	57	48
1841	58	0
1841	59	11
1841	60	36
1841	61	15
1842	1	3
1842	2	0
1842	3	0
1842	4	7
1842	5	27
1842	6	0
1842	7	0
1842	8	18
1842	9	30
1842	10	23
1842	11	0
1842	12	78
1842	13	11
1842	14	12
1842	15	0
1842	16	101
1842	17	64
1842	18	1
1842	19	2
1842	20	13
1842	21	0
1842	22	49
1842	23	71
1842	24	85
1842	25	0
1842	26	0
1842	27	24
1842	28	108
1842	29	0
1842	30	60
1842	31	76
1842	32	45
1842	33	0
1842	34	114
1842	35	6
1842	36	49
1842	37	37
1842	38	58
1842	39	35
1842	40	66
1842	41	61
1842	42	3
1842	43	85
1842	44	9
1842	45	3
1842	46	122
1842	47	8
1842	48	23
1842	49	142
1842	50	20
1842	51	35
1842	52	4
1842	53	0
1842	54	57
1842	55	42
1842	56	50
1842	57	95
1842	58	0
1842	59	0
1842	60	0
1842	61	0
1843	1	0
1843	2	9
1843	3	12
1843	4	0
1843	5	0
1843	6	4
1843	7	0
1843	8	5
1843	9	0
1843	10	45
1843	11	0
1843	12	0
1843	13	59
1843	14	0
1843	15	0
1843	16	0
1843	17	0
1843	18	24
1843	19	44
1843	20	38
1843	21	1
1843	22	8
1843	23	33
1843	24	47
1843	25	4
1843	26	208
1843	27	14
1843	28	0
1843	29	30
1843	30	99
1843	31	154
1843	32	42
1843	33	14
1843	34	76
1843	35	31
1843	36	87
1843	37	44
1843	38	68
1843	39	1
1843	40	37
1843	41	20
1843	42	12
1843	43	53
1843	44	11
1843	45	27
1843	46	5
1843	47	22
1843	48	55
1843	49	4
1843	50	48
1843	51	35
1843	52	10
1843	53	0
1843	54	4
1843	55	6
1843	56	0
1843	57	159
1843	58	0
1843	59	0
1843	60	0
1843	61	0
1844	1	11
1844	2	19
1844	3	14
1844	4	0
1844	5	8
1844	6	0
1844	7	2
1844	8	4
1844	9	12
1844	10	0
1844	11	0
1844	12	25
1844	13	27
1844	14	0
1844	15	15
1844	16	13
1844	17	6
1844	18	74
1844	19	55
1844	20	20
1844	21	9
1844	22	5
1844	23	85
1844	24	31
1844	25	31
1844	26	31
1844	27	0
1844	28	0
1844	29	57
1844	30	57
1844	31	103
1844	32	92
1844	33	65
1844	34	101
1844	35	5
1844	36	0
1844	37	65
1844	38	61
1844	39	39
1844	40	45
1844	41	1
1844	42	15
1844	43	10
1844	44	81
1844	45	69
1844	46	84
1844	47	45
1844	48	1
1844	49	1
1844	50	18
1844	51	15
1844	52	28
1844	53	0
1844	54	31
1844	55	32
1844	56	0
1844	57	0
1844	58	75
1844	59	8
1844	60	0
1844	61	0
1845	1	0
1845	2	4
1845	3	9
1845	4	0
1845	5	0
1845	6	3
1845	7	12
1845	8	0
1845	9	0
1845	10	17
1845	11	0
1845	12	3
1845	13	0
1845	14	0
1845	15	23
1845	16	6
1845	17	4
1845	18	0
1845	19	45
1845	20	0
1845	21	27
1845	22	35
1845	23	23
1845	24	8
1845	25	128
1845	26	107
1845	27	8
1845	28	187
1845	29	12
1845	30	97
1845	31	31
1845	32	35
1845	33	18
1845	34	81
1845	35	45
1845	36	23
1845	37	50
1845	38	92
1845	39	35
1845	40	106
1845	41	35
1845	42	0
1845	43	103
1845	44	42
1845	45	9
1845	46	58
1845	47	0
1845	48	81
1845	49	9
1845	50	0
1845	51	10
1845	52	57
1845	53	11
1845	54	7
1845	55	50
1845	56	13
1845	57	2
1845	58	8
1845	59	103
1845	60	0
1845	61	10
1846	1	3
1846	2	12
1846	3	0
1846	4	0
1846	5	0
1846	6	160
1846	7	4
1846	8	0
1846	9	40
1846	10	28
1846	11	0
1846	12	0
1846	13	63
1846	14	0
1846	15	3
1846	16	2
1846	17	9
1846	18	24
1846	19	8
1846	20	209
1846	21	100
1846	22	9
1846	23	0
1846	24	145
1846	25	28
1846	26	76
1846	27	101
1846	28	3
1846	29	17
1846	30	46
1846	31	55
1846	32	131
1846	33	0
1846	34	30
1846	35	142
1846	36	150
1846	37	77
1846	38	6
1846	39	4
1846	40	11
1846	41	141
1846	42	10
1846	43	44
1846	44	116
1846	45	14
1846	46	0
1846	47	14
1846	48	11
1846	49	1
1846	50	143
1846	51	55
1846	52	0
1846	53	10
1846	54	211
1846	55	74
1846	56	0
1846	57	1
1846	58	0
1846	59	5
1846	60	0
1846	61	145
1847	1	162
1847	2	0
1847	3	0
1847	4	0
1847	5	0
1847	6	3
1847	7	0
1847	8	0
1847	9	0
1847	10	0
1847	11	83
1847	12	5
1847	13	0
1847	14	0
1847	15	73
1847	16	0
1847	17	0
1847	18	182
1847	19	50
1847	20	48
1847	21	155
1847	22	0
1847	23	40
1847	24	72
1847	25	0
1847	26	125
1847	27	46
1847	28	124
1847	29	365
1847	30	70
1847	31	195
1847	32	52
1847	33	39
1847	34	155
1847	35	98
1847	36	81
1847	37	70
1847	38	0
1847	39	21
1847	40	0
1847	41	5
1847	42	0
1847	43	35
1847	44	15
1847	45	3
1847	46	189
1847	47	0
1847	48	0
1847	49	16
1847	50	37
1847	51	5
1847	52	32
1847	53	0
1847	54	70
1847	55	0
1847	56	17
1847	57	0
1847	58	19
1847	59	150
1847	60	2
1847	61	0
1848	1	0
1848	2	0
1848	3	0
1848	4	0
1848	5	0
1848	6	0
1848	7	0
1848	8	0
1848	9	0
1848	10	0
1848	11	2
1848	12	0
1848	13	95
1848	14	0
1848	15	0
1848	16	0
1848	17	48
1848	18	27
1848	19	0
1848	20	0
1848	21	20
1848	22	110
1848	23	93
1848	24	0
1848	25	0
1848	26	0
1848	27	13
1848	28	8
1848	29	47
1848	30	20
1848	31	139
1848	32	14
1848	33	38
1848	34	35
1848	35	40
1848	36	92
1848	37	8
1848	38	63
1848	39	47
1848	40	71
1848	41	45
1848	42	116
1848	43	6
1848	44	100
1848	45	59
1848	46	31
1848	47	12
1848	48	74
1848	49	18
1848	50	117
1848	51	59
1848	52	33
1848	53	25
1848	54	101
1848	55	82
1848	56	1
1848	57	22
1848	58	6
1848	59	2
1848	60	0
1848	61	37
1849	1	0
1849	2	0
1849	3	0
1849	4	0
1849	5	0
1849	6	0
1849	7	28
1849	8	0
1849	9	1
1849	10	0
1849	11	7
1849	12	10
1849	13	32
1849	14	12
1849	15	0
1849	16	0
1849	17	0
1849	18	25
1849	19	141
1849	20	63
1849	21	3
1849	22	6
1849	23	0
1849	24	152
1849	25	15
1849	26	190
1849	27	57
1849	28	0
1849	29	252
1849	30	218
1849	31	172
1849	32	35
1849	33	53
1849	34	124
1849	35	0
1849	36	66
1849	37	134
1849	38	14
1849	39	22
1849	40	46
1849	41	99
1849	42	19
1849	43	78
1849	44	55
1849	45	48
1849	46	48
1849	47	9
1849	48	27
1849	49	9
1849	50	0
1849	51	29
1849	52	74
1849	53	0
1849	54	50
1849	55	58
1849	56	23
1849	57	12
1849	58	23
1849	59	0
1849	60	0
1849	61	6
1850	1	0
1850	2	23
1850	3	0
1850	4	0
1850	5	76
1850	6	301
1850	7	0
1850	8	0
1850	9	5
1850	10	8
1850	11	0
1850	12	0
1850	13	0
1850	14	0
1850	15	25
1850	16	0
1850	17	0
1850	18	81
1850	19	0
1850	20	9
1850	21	0
1850	22	44
1850	23	78
1850	24	10
1850	25	48
1850	26	22
1850	27	155
1850	28	133
1850	29	17
1850	30	50
1850	31	10
1850	32	43
1850	33	8
1850	34	0
1850	35	3
1850	36	62
1850	37	20
1850	38	9
1850	39	13
1850	40	68
1850	41	0
1850	42	119
1850	43	38
1850	44	4
1850	45	37
1850	46	17
1850	47	0
1850	48	72
1850	49	0
1850	50	0
1850	51	100
1850	52	65
1850	53	0
1850	54	0
1850	55	0
1850	56	15
1850	57	0
1850	58	68
1850	59	0
1850	60	0
1850	61	92
1851	1	104
1851	2	6
1851	3	3
1851	4	0
1851	5	0
1851	6	0
1851	7	6
1851	8	9
1851	9	0
1851	10	0
1851	11	42
1851	12	22
1851	13	31
1851	14	0
1851	15	0
1851	16	0
1851	17	23
1851	18	14
1851	19	70
1851	20	45
1851	21	192
1851	22	191
1851	23	55
1851	24	34
1851	25	153
1851	26	32
1851	27	27
1851	28	169
1851	29	119
1851	30	19
1851	31	68
1851	32	71
1851	33	172
1851	34	143
1851	35	50
1851	36	45
1851	37	113
1851	38	0
1851	39	252
1851	40	42
1851	41	112
1851	42	56
1851	43	106
1851	44	14
1851	45	77
1851	46	0
1851	47	34
1851	48	12
1851	49	0
1851	50	70
1851	51	30
1851	52	3
1851	53	59
1851	54	253
1851	55	7
1851	56	7
1851	57	4
1851	58	11
1851	59	7
1851	60	0
1851	61	3
1852	1	25
1852	2	25
1852	3	25
1852	4	50
1852	5	25
1852	6	0
1852	7	0
1852	8	40
1852	9	0
1852	10	0
1852	11	0
1852	12	0
1852	13	0
1852	14	0
1852	15	3
1852	16	0
1852	17	0
1852	18	3
1852	19	80
1852	20	117
1852	21	40
1852	22	93
1852	23	34
1852	24	106
1852	25	0
1852	26	41
1852	27	79
1852	28	170
1852	29	5
1852	30	14
1852	31	111
1852	32	18
1852	33	190
1852	34	53
1852	35	54
1852	36	60
1852	37	165
1852	38	149
1852	39	65
1852	40	117
1852	41	117
1852	42	10
1852	43	43
1852	44	19
1852	45	27
1852	46	112
1852	47	50
1852	48	7
1852	49	47
1852	50	3
1852	51	50
1852	52	0
1852	53	0
1852	54	83
1852	55	11
1852	56	98
1852	57	0
1852	58	0
1852	59	15
1852	60	78
1852	61	18
1853	1	0
1853	2	37
1853	3	4
1853	4	0
1853	5	0
1853	6	0
1853	7	4
1853	8	60
1853	9	0
1853	10	3
1853	11	5
1853	12	15
1853	13	0
1853	14	0
1853	15	13
1853	16	29
1853	17	24
1853	18	138
1853	19	5
1853	20	207
1853	21	459
1853	22	14
1853	23	103
1853	24	10
1853	25	121
1853	26	15
1853	27	24
1853	28	64
1853	29	127
1853	30	17
1853	31	45
1853	32	41
1853	33	28
1853	34	104
1853	35	55
1853	36	31
1853	37	43
1853	38	8
1853	39	15
1853	40	54
1853	41	116
1853	42	98
1853	43	101
1853	44	90
1853	45	21
1853	46	75
1853	47	119
1853	48	47
1853	49	0
1853	50	0
1853	51	0
1853	52	26
1853	53	0
1853	54	0
1853	55	0
1853	56	16
1853	57	0
1853	58	0
1853	59	0
1853	60	82
1853	61	0
1854	1	0
1854	2	0
1854	3	0
1854	4	0
1854	5	9
1854	6	1
1854	7	0
1854	8	0
1854	9	0
1854	10	3
1854	11	3
1854	12	13
1854	13	10
1854	14	6
1854	15	73
1854	16	0
1854	17	30
1854	18	64
1854	19	108
1854	20	64
1854	21	25
1854	22	24
1854	23	12
1854	24	107
1854	25	0
1854	26	0
1854	27	0
1854	28	39
1854	29	0
1854	30	74
1854	31	43
1854	32	20
1854	33	29
1854	34	57
1854	35	97
1854	36	15
1854	37	30
1854	38	49
1854	39	48
1854	40	89
1854	41	38
1854	42	11
1854	43	50
1854	44	4
1854	45	4
1854	46	144
1854	47	10
1854	48	2
1854	49	11
1854	50	0
1854	51	7
1854	52	28
1854	53	1
1854	54	0
1854	55	21
1854	56	10
1854	57	23
1854	58	0
1854	59	9
1854	60	0
1854	61	20
1855	1	0
1855	2	0
1855	3	0
1855	4	0
1855	5	0
1855	6	4
1855	7	0
1855	8	0
1855	9	0
1855	10	128
1855	11	8
1855	12	10
1855	13	126
1855	14	143
1855	15	25
1855	16	0
1855	17	3
1855	18	0
1855	19	68
1855	20	39
1855	21	0
1855	22	36
1855	23	9
1855	24	72
1855	25	187
1855	26	147
1855	27	51
1855	28	43
1855	29	0
1855	30	20
1855	31	20
1855	32	123
1855	33	63
1855	34	28
1855	35	99
1855	36	25
1855	37	85
1855	38	12
1855	39	17
1855	40	45
1855	41	4
1855	42	67
1855	43	164
1855	44	18
1855	45	76
1855	46	16
1855	47	9
1855	48	68
1855	49	0
1855	50	92
1855	51	10
1855	52	0
1855	53	43
1855	54	8
1855	55	0
1855	56	0
1855	57	0
1855	58	47
1855	59	57
1855	60	0
1855	61	0
1856	1	0
1856	2	81
1856	3	0
1856	4	0
1856	5	7
1856	6	0
1856	7	250
1856	8	0
1856	9	0
1856	10	0
1856	11	0
1856	12	0
1856	13	23
1856	14	5
1856	15	15
1856	16	123
1856	17	102
1856	18	68
1856	19	72
1856	20	14
1856	21	4
1856	22	111
1856	23	0
1856	24	11
1856	25	76
1856	26	138
1856	27	232
1856	28	157
1856	29	32
1856	30	27
1856	31	154
1856	32	30
1856	33	33
1856	34	7
1856	35	21
1856	36	38
1856	37	37
1856	38	26
1856	39	83
1856	40	10
1856	41	21
1856	42	41
1856	43	45
1856	44	37
1856	45	16
1856	46	15
1856	47	146
1856	48	6
1856	49	49
1856	50	46
1856	51	0
1856	52	4
1856	53	7
1856	54	0
1856	55	0
1856	56	44
1856	57	4
1856	58	26
1856	59	0
1856	60	0
1856	61	0
1857	1	1
1857	2	0
1857	3	43
1857	4	0
1857	5	0
1857	6	6
1857	7	0
1857	8	78
1857	9	0
1857	10	0
1857	11	14
1857	12	0
1857	13	113
1857	14	85
1857	15	171
1857	16	0
1857	17	0
1857	18	0
1857	19	22
1857	20	81
1857	21	55
1857	22	0
1857	23	0
1857	24	25
1857	25	13
1857	26	16
1857	27	55
1857	28	91
1857	29	149
1857	30	75
1857	31	113
1857	32	13
1857	33	87
1857	34	0
1857	35	20
1857	36	34
1857	37	0
1857	38	77
1857	39	123
1857	40	79
1857	41	72
1857	42	2
1857	43	6
1857	44	49
1857	45	7
1857	46	0
1857	47	54
1857	48	93
1857	49	7
1857	50	9
1857	51	48
1857	52	0
1857	53	25
1857	54	85
1857	55	22
1857	56	0
1857	57	0
1857	58	52
1857	59	0
1857	60	0
1857	61	51
1858	1	22
1858	2	39
1858	3	25
1858	4	0
1858	5	0
1858	6	0
1858	7	0
1858	8	21
1858	9	242
1858	10	4
1858	11	0
1858	12	2
1858	13	5
1858	14	0
1858	15	16
1858	16	8
1858	17	14
1858	18	7
1858	19	4
1858	20	99
1858	21	0
1858	22	183
1858	23	110
1858	24	42
1858	25	16
1858	26	78
1858	27	86
1858	28	6
1858	29	0
1858	30	0
1858	31	0
1858	32	22
1858	33	105
1858	34	54
1858	35	120
1858	36	22
1858	37	29
1858	38	60
1858	39	25
1858	40	6
1858	41	31
1858	42	87
1858	43	54
1858	44	2
1858	45	46
1858	46	9
1858	47	0
1858	48	0
1858	49	63
1858	50	0
1858	51	5
1858	52	0
1858	53	2
1858	54	2
1858	55	16
1858	56	195
1858	57	0
1858	58	0
1858	59	82
1858	60	86
1858	61	3
1859	1	0
1859	2	8
1859	3	6
1859	4	20
1859	5	0
1859	6	0
1859	7	0
1859	8	52
1859	9	64
1859	10	0
1859	11	0
1859	12	0
1859	13	0
1859	14	0
1859	15	0
1859	16	8
1859	17	45
1859	18	20
1859	19	0
1859	20	0
1859	21	16
1859	22	3
1859	23	289
1859	24	88
1859	25	39
1859	26	44
1859	27	51
1859	28	99
1859	29	0
1859	30	24
1859	31	23
1859	32	14
1859	33	29
1859	34	25
1859	35	4
1859	36	0
1859	37	93
1859	38	8
1859	39	33
1859	40	24
1859	41	24
1859	42	33
1859	43	11
1859	44	6
1859	45	11
1859	46	57
1859	47	0
1859	48	50
1859	49	2
1859	50	27
1859	51	24
1859	52	44
1859	53	0
1859	54	0
1859	55	19
1859	56	0
1859	57	43
1859	58	8
1859	59	0
1859	60	0
1859	61	0
1860	1	0
1860	2	6
1860	3	3
1860	4	0
1860	5	9
1860	6	0
1860	7	0
1860	8	0
1860	9	0
1860	10	0
1860	11	0
1860	12	52
1860	13	100
1860	14	0
1860	15	55
1860	16	318
1860	17	6
1860	18	51
1860	19	53
1860	20	3
1860	21	42
1860	22	2
1860	23	92
1860	24	68
1860	25	46
1860	26	25
1860	27	110
1860	28	73
1860	29	33
1860	30	131
1860	31	34
1860	32	25
1860	33	43
1860	34	39
1860	35	0
1860	36	0
1860	37	0
1860	38	0
1860	39	73
1860	40	3
1860	41	0
1860	42	19
1860	43	9
1860	44	34
1860	45	69
1860	46	52
1860	47	111
1860	48	18
1860	49	0
1860	50	13
1860	51	0
1860	52	44
1860	53	12
1860	54	0
1860	55	18
1860	56	13
1860	57	38
1860	58	14
1860	59	9
1860	60	4
1860	61	0
1861	1	23
1861	2	1
1861	3	0
1861	4	2
1861	5	0
1861	6	0
1861	7	5
1861	8	14
1861	9	27
1861	10	0
1861	11	8
1861	12	0
1861	13	36
1861	14	88
1861	15	0
1861	16	41
1861	17	2
1861	18	96
1861	19	0
1861	20	2
1861	21	67
1861	22	250
1861	23	44
1861	24	38
1861	25	64
1861	26	21
1861	27	18
1861	28	71
1861	29	40
1861	30	27
1861	31	149
1861	32	51
1861	33	121
1861	34	39
1861	35	37
1861	36	17
1861	37	4
1861	38	6
1861	39	54
1861	40	16
1861	41	34
1861	42	34
1861	43	108
1861	44	4
1861	45	28
1861	46	66
1861	47	44
1861	48	13
1861	49	18
1861	50	33
1861	51	80
1861	52	4
1861	53	6
1861	54	0
1861	55	11
1861	56	132
1861	57	5
1861	58	37
1861	59	175
1861	60	49
1861	61	0
1862	1	0
1862	2	0
1862	3	10
1862	4	11
1862	5	0
1862	6	0
1862	7	70
1862	8	0
1862	9	0
1862	10	0
1862	11	13
1862	12	25
1862	13	10
1862	14	2
1862	15	0
1862	16	3
1862	17	0
1862	18	119
1862	19	0
1862	20	10
1862	21	52
1862	22	9
1862	23	8
1862	24	127
1862	25	277
1862	26	83
1862	27	0
1862	28	8
1862	29	38
1862	30	80
1862	31	53
1862	32	70
1862	33	53
1862	34	180
1862	35	92
1862	36	81
1862	37	91
1862	38	193
1862	39	1
1862	40	32
1862	41	35
1862	42	12
1862	43	83
1862	44	7
1862	45	44
1862	46	0
1862	47	0
1862	48	0
1862	49	40
1862	50	64
1862	51	4
1862	52	0
1862	53	74
1862	54	7
1862	55	0
1862	56	0
1862	57	10
1862	58	0
1862	59	0
1862	60	5
1862	61	0
1863	1	0
1863	2	0
1863	3	0
1863	4	28
1863	5	56
1863	6	0
1863	7	0
1863	8	0
1863	9	38
1863	10	0
1863	11	31
1863	12	6
1863	13	3
1863	14	0
1863	15	0
1863	16	20
1863	17	0
1863	18	0
1863	19	16
1863	20	23
1863	21	63
1863	22	12
1863	23	148
1863	24	232
1863	25	51
1863	26	12
1863	27	73
1863	28	90
1863	29	91
1863	30	2
1863	31	51
1863	32	36
1863	33	52
1863	34	56
1863	35	106
1863	36	124
1863	37	81
1863	38	14
1863	39	85
1863	40	73
1863	41	64
1863	42	21
1863	43	77
1863	44	24
1863	45	8
1863	46	28
1863	47	24
1863	48	37
1863	49	36
1863	50	43
1863	51	182
1863	52	42
1863	53	0
1863	54	9
1863	55	11
1863	56	0
1863	57	0
1863	58	86
1863	59	12
1863	60	0
1863	61	1
1864	1	0
1864	2	150
1864	3	53
1864	4	0
1864	5	0
1864	6	0
1864	7	13
1864	8	4
1864	9	0
1864	10	0
1864	11	0
1864	12	0
1864	13	0
1864	14	0
1864	15	0
1864	16	8
1864	17	34
1864	18	26
1864	19	30
1864	20	22
1864	21	45
1864	22	44
1864	23	172
1864	24	7
1864	25	0
1864	26	64
1864	27	75
1864	28	9
1864	29	129
1864	30	27
1864	31	0
1864	32	176
1864	33	8
1864	34	49
1864	35	63
1864	36	86
1864	37	29
1864	38	160
1864	39	96
1864	40	22
1864	41	75
1864	42	5
1864	43	32
1864	44	47
1864	45	18
1864	46	33
1864	47	43
1864	48	19
1864	49	65
1864	50	12
1864	51	1
1864	52	10
1864	53	0
1864	54	0
1864	55	0
1864	56	3
1864	57	3
1864	58	5
1864	59	2
1864	60	9
1864	61	0
1865	1	0
1865	2	0
1865	3	0
1865	4	2
1865	5	0
1865	6	1
1865	7	5
1865	8	20
1865	9	0
1865	10	0
1865	11	44
1865	12	0
1865	13	50
1865	14	0
1865	15	2
1865	16	0
1865	17	0
1865	18	10
1865	19	6
1865	20	51
1865	21	41
1865	22	87
1865	23	53
1865	24	0
1865	25	86
1865	26	41
1865	27	0
1865	28	0
1865	29	0
1865	30	77
1865	31	16
1865	32	251
1865	33	44
1865	34	142
1865	35	69
1865	36	39
1865	37	0
1865	38	33
1865	39	33
1865	40	43
1865	41	14
1865	42	96
1865	43	29
1865	44	0
1865	45	22
1865	46	58
1865	47	9
1865	48	13
1865	49	8
1865	50	0
1865	51	0
1865	52	1
1865	53	10
1865	54	0
1865	55	0
1865	56	18
1865	57	3
1865	58	0
1865	59	12
1865	60	12
1865	61	0
1866	1	0
1866	2	2
1866	3	0
1866	4	0
1866	5	99
1866	6	0
1866	7	0
1866	8	17
1866	9	37
1866	10	0
1866	11	45
1866	12	14
1866	13	1
1866	14	0
1866	15	8
1866	16	0
1866	17	0
1866	18	22
1866	19	0
1866	20	3
1866	21	16
1866	22	91
1866	23	182
1866	24	36
1866	25	189
1866	26	22
1866	27	34
1866	28	72
1866	29	0
1866	30	100
1866	31	20
1866	32	92
1866	33	10
1866	34	70
1866	35	132
1866	36	43
1866	37	63
1866	38	88
1866	39	0
1866	40	0
1866	41	1
1866	42	13
1866	43	18
1866	44	76
1866	45	47
1866	46	20
1866	47	76
1866	48	57
1866	49	20
1866	50	109
1866	51	0
1866	52	4
1866	53	15
1866	54	0
1866	55	37
1866	56	3
1866	57	0
1866	58	10
1866	59	0
1866	60	0
1866	61	0
1867	1	0
1867	2	0
1867	3	16
1867	4	0
1867	5	9
1867	6	0
1867	7	0
1867	8	33
1867	9	9
1867	10	103
1867	11	3
1867	12	63
1867	13	0
1867	14	0
1867	15	100
1867	16	0
1867	17	0
1867	18	1
1867	19	0
1867	20	21
1867	21	0
1867	22	0
1867	23	15
1867	24	188
1867	25	0
1867	26	0
1867	27	82
1867	28	28
1867	29	7
1867	30	28
1867	31	90
1867	32	41
1867	33	51
1867	34	49
1867	35	54
1867	36	4
1867	37	56
1867	38	39
1867	39	0
1867	40	5
1867	41	20
1867	42	67
1867	43	100
1867	44	37
1867	45	90
1867	46	75
1867	47	136
1867	48	94
1867	49	5
1867	50	75
1867	51	0
1867	52	0
1867	53	0
1867	54	77
1867	55	0
1867	56	6
1867	57	0
1867	58	2
1867	59	6
1867	60	4
1867	61	21
1868	1	0
1868	2	90
1868	3	53
1868	4	0
1868	5	0
1868	6	0
1868	7	0
1868	8	0
1868	9	1
1868	10	0
1868	11	2
1868	12	0
1868	13	0
1868	14	0
1868	15	116
1868	16	5
1868	17	178
1868	18	17
1868	19	0
1868	20	0
1868	21	3
1868	22	0
1868	23	0
1868	24	70
1868	25	23
1868	26	0
1868	27	51
1868	28	140
1868	29	224
1868	30	79
1868	31	65
1868	32	70
1868	33	0
1868	34	11
1868	35	50
1868	36	0
1868	37	22
1868	38	9
1868	39	42
1868	40	49
1868	41	66
1868	42	59
1868	43	11
1868	44	31
1868	45	157
1868	46	22
1868	47	57
1868	48	18
1868	49	16
1868	50	29
1868	51	33
1868	52	4
1868	53	36
1868	54	4
1868	55	26
1868	56	0
1868	57	10
1868	58	36
1868	59	12
1868	60	0
1868	61	0
1869	1	9
1869	2	0
1869	3	2
1869	4	7
1869	5	3
1869	6	14
1869	7	27
1869	8	2
1869	9	8
1869	10	0
1869	11	0
1869	12	29
1869	13	8
1869	14	74
1869	15	81
1869	16	12
1869	17	4
1869	18	31
1869	19	34
1869	20	19
1869	21	29
1869	22	10
1869	23	39
1869	24	10
1869	25	51
1869	26	57
1869	27	98
1869	28	1
1869	29	88
1869	30	31
1869	31	2
1869	32	8
1869	33	11
1869	34	29
1869	35	26
1869	36	91
1869	37	0
1869	38	14
1869	39	30
1869	40	31
1869	41	19
1869	42	15
1869	43	0
1869	44	36
1869	45	0
1869	46	53
1869	47	81
1869	48	48
1869	49	6
1869	50	11
1869	51	7
1869	52	0
1869	53	3
1869	54	7
1869	55	158
1869	56	2
1869	57	0
1869	58	0
1869	59	2
1869	60	14
1869	61	0
1870	1	2
1870	2	0
1870	3	97
1870	4	0
1870	5	229
1870	6	0
1870	7	0
1870	8	0
1870	9	0
1870	10	0
1870	11	0
1870	12	0
1870	13	0
1870	14	0
1870	15	0
1870	16	1
1870	17	4
1870	18	30
1870	19	11
1870	20	5
1870	21	13
1870	22	10
1870	23	50
1870	24	16
1870	25	21
1870	26	18
1870	27	60
1870	28	130
1870	29	25
1870	30	197
1870	31	13
1870	32	11
1870	33	80
1870	34	18
1870	35	53
1870	36	102
1870	37	94
1870	38	118
1870	39	91
1870	40	36
1870	41	10
1870	42	134
1870	43	37
1870	44	51
1870	45	36
1870	46	14
1870	47	95
1870	48	17
1870	49	36
1870	50	145
1870	51	77
1870	52	0
1870	53	80
1870	54	0
1870	55	35
1870	56	10
1870	57	0
1870	58	0
1870	59	15
1870	60	0
1870	61	59
1871	1	32
1871	2	179
1871	3	38
1871	4	0
1871	5	25
1871	6	0
1871	7	106
1871	8	0
1871	9	0
1871	10	0
1871	11	11
1871	12	51
1871	13	8
1871	14	0
1871	15	4
1871	16	0
1871	17	30
1871	18	0
1871	19	23
1871	20	22
1871	21	71
1871	22	83
1871	23	94
1871	24	29
1871	25	19
1871	26	0
1871	27	50
1871	28	20
1871	29	92
1871	30	89
1871	31	74
1871	32	33
1871	33	13
1871	34	52
1871	35	154
1871	36	3
1871	37	113
1871	38	10
1871	39	32
1871	40	6
1871	41	59
1871	42	60
1871	43	4
1871	44	82
