Plant	Stock	Spacing	Zone	RLD
1	Mark	5x3	Inner	0.361011
1	Mark	5x3	Inner	0.541516
2	Mark	5x3	Outer	0
2	Mark	5x3	Outer	0
2	Mark	5x3	Outer	0
2	Mark	5x3	Outer	0
2	Mark	5x3	Outer	0
2	Mark	5x3	Outer	0
2	Mark	5x3	Outer	0
2	Mark	5x3	Outer	0
2	Mark	5x3	Outer	0
2	Mark	5x3	Inner	0
2	Mark	5x3	Inner	0
2	Mark	5x3	Inner	0
2	Mark	5x3	Outer	0
2	Mark	5x3	Inner	0
2	Mark	5x3	Outer	0
2	Mark	5x3	Outer	0
2	Mark	5x3	Outer	0
2	Mark	5x3	Inner	0
2	Mark	5x3	Inner	0
2	Mark	5x3	Outer	0
2	Mark	5x3	Inner	0
2	Mark	5x3	Outer	0
2	Mark	5x3	Inner	0
2	Mark	5x3	Outer	0
2	Mark	5x3	Outer	0
2	Mark	5x3	Inner	0
2	Mark	5x3	Inner	0
2	Mark	5x3	Outer	0
2	Mark	5x3	Outer	0
2	Mark	5x3	Outer	0
2	Mark	5x3	Outer	0
2	Mark	5x3	Outer	0
2	Mark	5x3	Outer	0
2	Mark	5x3	Outer	0
2	Mark	5x3	Outer	0
2	Mark	5x3	Inner	0
2	Mark	5x3	Inner	0
2	Mark	5x3	Outer	0
2	Mark	5x3	Outer	0
2	Mark	5x3	Outer	0
2	Mark	5x3	Outer	0
2	Mark	5x3	Inner	0
2	Mark	5x3	Outer	0
2	Mark	5x3	Outer	0
2	Mark	5x3	Outer	0
2	Mark	5x3	Outer	0
2	Mark	5x3	Outer	0
2	Mark	5x3	Outer	0
2	Mark	5x3	Outer	0
2	Mark	5x3	Outer	0
2	Mark	5x3	Outer	0
2	Mark	5x3	Outer	0
2	Mark	5x3	Outer	0.006017
2	Mark	5x3	Outer	0.006017
2	Mark	5x3	Outer	0.012034
2	Mark	5x3	Outer	0.018051
2	Mark	5x3	Inner	0.018051
2	Mark	5x3	Outer	0.018051
2	Mark	5x3	Inner	0.018051
2	Mark	5x3	Inner	0.024067
2	Mark	5x3	Outer	0.030084
2	Mark	5x3	Outer	0.036101
2	Mark	5x3	Inner	0.036101
2	Mark	5x3	Outer	0.054152
2	Mark	5x3	Inner	0.060168
2	Mark	5x3	Inner	0.060168
2	Mark	5x3	Outer	0.060168
2	Mark	5x3	Inner	0.060168
2	Mark	5x3	Inner	0.060168
2	Mark	5x3	Inner	0.060168
2	Mark	5x3	Inner	0.060168
2	Mark	5x3	Inner	0.060168
2	Mark	5x3	Inner	0.060168
2	Mark	5x3	Inner	0.060168
2	Mark	5x3	Inner	0.060168
2	Mark	5x3	Inner	0.060168
2	Mark	5x3	Outer	0.060168
2	Mark	5x3	Inner	0.060168
2	Mark	5x3	Outer	0.090253
2	Mark	5x3	Inner	0.120337
2	Mark	5x3	Inner	0.120337
2	Mark	5x3	Inner	0.120337
2	Mark	5x3	Inner	0.180505
2	Mark	5x3	Inner	0.180505
2	Mark	5x3	Outer	0.180505
2	Mark	5x3	Inner	0.601685
3	Mark	4x2	Inner	0
3	Mark	4x2	Outer	0
3	Mark	4x2	Inner	0
3	Mark	4x2	Inner	0
3	Mark	4x2	Outer	0
3	Mark	4x2	Inner	0
3	Mark	4x2	Outer	0
3	Mark	4x2	Inner	0
3	Mark	4x2	Inner	0
3	Mark	4x2	Inner	0
3	Mark	4x2	Outer	0
3	Mark	4x2	Outer	0
3	Mark	4x2	Outer	0
3	Mark	4x2	Outer	0
3	Mark	4x2	Inner	0
3	Mark	4x2	Inner	0
3	Mark	4x2	Inner	0
3	Mark	4x2	Inner	0
3	Mark	4x2	Outer	0
3	Mark	4x2	Outer	0
3	Mark	4x2	Outer	0
3	Mark	4x2	Outer	0
3	Mark	4x2	Inner	0
3	Mark	4x2	Inner	0
3	Mark	4x2	Outer	0.006017
3	Mark	4x2	Outer	0.006017
3	Mark	4x2	Inner	0.006017
3	Mark	4x2	Outer	0.006017
3	Mark	4x2	Outer	0.006017
3	Mark	4x2	Inner	0.006017
3	Mark	4x2	Outer	0.012034
3	Mark	4x2	Outer	0.012034
3	Mark	4x2	Inner	0.024067
3	Mark	4x2	Inner	0.030084
3	Mark	4x2	Inner	0.036101
3	Mark	4x2	Inner	0.042118
3	Mark	4x2	Inner	0.060168
3	Mark	4x2	Outer	0.060168
3	Mark	4x2	Inner	0.060168
3	Mark	4x2	Inner	0.120337
3	Mark	4x2	Inner	0.120337
3	Mark	4x2	Inner	0.180505
3	Mark	4x2	Inner	0.361011
3	Mark	4x2	Inner	0.541516
4	Mark	4x2	Outer	0
4	Mark	4x2	Outer	0
4	Mark	4x2	Outer	0
4	Mark	4x2	Outer	0
4	Mark	4x2	Inner	0
4	Mark	4x2	Outer	0
4	Mark	4x2	Outer	0
4	Mark	4x2	Inner	0
4	Mark	4x2	Outer	0
4	Mark	4x2	Outer	0
4	Mark	4x2	Outer	0
4	Mark	4x2	Inner	0
4	Mark	4x2	Inner	0
4	Mark	4x2	Inner	0.012034
4	Mark	4x2	Outer	0.012034
4	Mark	4x2	Inner	0.024067
4	Mark	4x2	Inner	0.030084
4	Mark	4x2	Outer	0.030084
4	Mark	4x2	Inner	0.030084
4	Mark	4x2	Inner	0.030084
4	Mark	4x2	Outer	0.036101
4	Mark	4x2	Inner	0.036101
4	Mark	4x2	Outer	0.054152
4	Mark	4x2	Inner	0.054152
4	Mark	4x2	Inner	0.054152
4	Mark	4x2	Inner	0.060168
4	Mark	4x2	Inner	0.060168
4	Mark	4x2	Outer	0.120337
4	Mark	4x2	Inner	0.120337
4	Mark	4x2	Inner	0.120337
4	Mark	4x2	Inner	0.120337
4	Mark	4x2	Inner	0.180505
4	Mark	4x2	Inner	0.180505
4	Mark	4x2	Inner	0.180505
4	Mark	4x2	Inner	0.180505
4	Mark	4x2	Outer	0.180505
4	Mark	4x2	Inner	0.180505
4	Mark	4x2	Inner	0.300842
4	Mark	4x2	Inner	0.300842
4	Mark	4x2	Inner	0.300842
4	Mark	4x2	Inner	0.361011
5	MM106	5x3	Outer	0
5	MM106	5x3	Outer	0
5	MM106	5x3	Outer	0
5	MM106	5x3	Outer	0
5	MM106	5x3	Inner	0
5	MM106	5x3	Outer	0
5	MM106	5x3	Outer	0
5	MM106	5x3	Inner	0
5	MM106	5x3	Outer	0
5	MM106	5x3	Outer	0
5	MM106	5x3	Outer	0
5	MM106	5x3	Outer	0
5	MM106	5x3	Inner	0
5	MM106	5x3	Outer	0
5	MM106	5x3	Outer	0
5	MM106	5x3	Inner	0
5	MM106	5x3	Outer	0
5	MM106	5x3	Outer	0
5	MM106	5x3	Outer	0
5	MM106	5x3	Inner	0
5	MM106	5x3	Outer	0
5	MM106	5x3	Inner	0
5	MM106	5x3	Outer	0
5	MM106	5x3	Outer	0
5	MM106	5x3	Outer	0
5	MM106	5x3	Outer	0.006017
5	MM106	5x3	Inner	0.006017
5	MM106	5x3	Outer	0.006017
5	MM106	5x3	Outer	0.006017
5	MM106	5x3	Outer	0.006017
5	MM106	5x3	Outer	0.006017
5	MM106	5x3	Inner	0.018051
5	MM106	5x3	Outer	0.018051
5	MM106	5x3	Outer	0.024067
5	MM106	5x3	Inner	0.024067
5	MM106	5x3	Inner	0.030084
5	MM106	5x3	Inner	0.030084
5	MM106	5x3	Outer	0.036101
5	MM106	5x3	Outer	0.036101
5	MM106	5x3	Outer	0.036101
5	MM106	5x3	Outer	0.036101
5	MM106	5x3	Inner	0.042118
5	MM106	5x3	Inner	0.042118
5	MM106	5x3	Inner	0.045728
5	MM106	5x3	Outer	0.048135
5	MM106	5x3	Outer	0.048135
5	MM106	5x3	Inner	0.048135
5	MM106	5x3	Inner	0.054152
5	MM106	5x3	Outer	0.060168
5	MM106	5x3	Outer	0.060168
5	MM106	5x3	Inner	0.060168
5	MM106	5x3	Inner	0.060168
5	MM106	5x3	Outer	0.060168
5	MM106	5x3	Outer	0.060168
5	MM106	5x3	Outer	0.060168
5	MM106	5x3	Inner	0.060168
5	MM106	5x3	Outer	0.060168
5	MM106	5x3	Outer	0.060168
5	MM106	5x3	Outer	0.060168
5	MM106	5x3	Outer	0.120337
5	MM106	5x3	Outer	0.120337
5	MM106	5x3	Inner	0.120337
5	MM106	5x3	Outer	0.120337
5	MM106	5x3	Inner	0.120337
5	MM106	5x3	Inner	0.120337
5	MM106	5x3	Outer	0.120337
5	MM106	5x3	Inner	0.180505
5	MM106	5x3	Outer	0.180505
5	MM106	5x3	Outer	0.180505
5	MM106	5x3	Inner	0.180505
5	MM106	5x3	Inner	0.180505
5	MM106	5x3	Inner	0.180505
5	MM106	5x3	Inner	0.180505
5	MM106	5x3	Inner	0.240674
5	MM106	5x3	Outer	0.240674
5	MM106	5x3	Inner	0.240674
5	MM106	5x3	Inner	0.240674
5	MM106	5x3	Inner	0.240674
5	MM106	5x3	Outer	0.240674
5	MM106	5x3	Inner	0.300842
5	MM106	5x3	Inner	0.300842
5	MM106	5x3	Inner	0.300842
5	MM106	5x3	Inner	0.361011
5	MM106	5x3	Inner	0.421179
5	MM106	5x3	Outer	0.481348
6	MM106	5x3	Outer	0
6	MM106	5x3	Outer	0
6	MM106	5x3	Outer	0
6	MM106	5x3	Inner	0
6	MM106	5x3	Inner	0
6	MM106	5x3	Outer	0
6	MM106	5x3	Outer	0
6	MM106	5x3	Outer	0
6	MM106	5x3	Outer	0
6	MM106	5x3	Outer	0
6	MM106	5x3	Outer	0
6	MM106	5x3	Outer	0
6	MM106	5x3	Inner	0
6	MM106	5x3	Inner	0
6	MM106	5x3	Outer	0
6	MM106	5x3	Outer	0
6	MM106	5x3	Outer	0
6	MM106	5x3	Outer	0.012034
6	MM106	5x3	Outer	0.012034
6	MM106	5x3	Inner	0.018051
6	MM106	5x3	Outer	0.024067
6	MM106	5x3	Outer	0.030084
6	MM106	5x3	Inner	0.030084
6	MM106	5x3	Inner	0.036101
6	MM106	5x3	Outer	0.036101
6	MM106	5x3	Outer	0.042118
6	MM106	5x3	Outer	0.048135
6	MM106	5x3	Inner	0.048135
6	MM106	5x3	Outer	0.048135
6	MM106	5x3	Inner	0.048135
6	MM106	5x3	Outer	0.048135
6	MM106	5x3	Outer	0.048135
6	MM106	5x3	Inner	0.048135
6	MM106	5x3	Outer	0.054152
6	MM106	5x3	Inner	0.060168
6	MM106	5x3	Outer	0.060168
6	MM106	5x3	Inner	0.060168
6	MM106	5x3	Outer	0.060168
6	MM106	5x3	Inner	0.060168
6	MM106	5x3	Outer	0.060168
6	MM106	5x3	Inner	0.060168
6	MM106	5x3	Outer	0.060168
6	MM106	5x3	Inner	0.060168
6	MM106	5x3	Inner	0.060168
6	MM106	5x3	Inner	0.060168
6	MM106	5x3	Outer	0.060168
6	MM106	5x3	Outer	0.060168
6	MM106	5x3	Inner	0.060168
6	MM106	5x3	Inner	0.120337
6	MM106	5x3	Inner	0.120337
6	MM106	5x3	Inner	0.120337
6	MM106	5x3	Inner	0.120337
6	MM106	5x3	Inner	0.120337
6	MM106	5x3	Outer	0.120337
6	MM106	5x3	Outer	0.120337
6	MM106	5x3	Inner	0.120337
6	MM106	5x3	Outer	0.120337
6	MM106	5x3	Outer	0.120337
6	MM106	5x3	Outer	0.120337
6	MM106	5x3	Outer	0.120337
6	MM106	5x3	Outer	0.120337
6	MM106	5x3	Inner	0.180505
6	MM106	5x3	Inner	0.180505
6	MM106	5x3	Inner	0.180505
6	MM106	5x3	Inner	0.180505
6	MM106	5x3	Inner	0.180505
6	MM106	5x3	Inner	0.180505
6	MM106	5x3	Outer	0.180505
6	MM106	5x3	Outer	0.180505
6	MM106	5x3	Outer	0.180505
6	MM106	5x3	Inner	0.240674
6	MM106	5x3	Inner	0.240674
6	MM106	5x3	Outer	0.240674
6	MM106	5x3	Outer	0.240674
6	MM106	5x3	Outer	0.300842
6	MM106	5x3	Inner	0.300842
6	MM106	5x3	Inner	0.300842
6	MM106	5x3	Outer	0.300842
6	MM106	5x3	Outer	0.361011
6	MM106	5x3	Outer	0.481348
6	MM106	5x3	Outer	0.601685
7	M26	4x2	Outer	0
7	M26	4x2	Inner	0
7	M26	4x2	Outer	0
7	M26	4x2	Inner	0
7	M26	4x2	Outer	0
7	M26	4x2	Inner	0
7	M26	4x2	Inner	0
7	M26	4x2	Inner	0.012034
7	M26	4x2	Outer	0.012034
7	M26	4x2	Outer	0.018051
7	M26	4x2	Outer	0.024067
7	M26	4x2	Inner	0.048135
7	M26	4x2	Inner	0.048135
7	M26	4x2	Outer	0.048135
7	M26	4x2	Inner	0.054152
7	M26	4x2	Outer	0.054152
7	M26	4x2	Inner	0.060168
7	M26	4x2	Outer	0.060168
7	M26	4x2	Inner	0.060168
7	M26	4x2	Inner	0.060168
7	M26	4x2	Inner	0.060168
7	M26	4x2	Inner	0.060168
7	M26	4x2	Outer	0.060168
7	M26	4x2	Inner	0.060168
7	M26	4x2	Inner	0.060168
7	M26	4x2	Inner	0.120337
7	M26	4x2	Inner	0.120337
7	M26	4x2	Inner	0.120337
7	M26	4x2	Outer	0.120337
7	M26	4x2	Outer	0.120337
7	M26	4x2	Outer	0.180505
7	M26	4x2	Inner	0.180505
7	M26	4x2	Outer	0.180505
7	M26	4x2	Inner	0.180505
7	M26	4x2	Inner	0.180505
7	M26	4x2	Inner	0.180505
7	M26	4x2	Outer	0.240674
7	M26	4x2	Outer	0.240674
7	M26	4x2	Outer	0.300842
7	M26	4x2	Inner	0.361011
7	M26	4x2	Inner	0.361011
8	M26	4x2	Inner	0
8	M26	4x2	Inner	0
8	M26	4x2	Outer	0
8	M26	4x2	Inner	0
8	M26	4x2	Outer	0
8	M26	4x2	Outer	0.012034
8	M26	4x2	Outer	0.012034
8	M26	4x2	Outer	0.012034
8	M26	4x2	Outer	0.012034
8	M26	4x2	Inner	0.030084
8	M26	4x2	Outer	0.030084
8	M26	4x2	Inner	0.030084
8	M26	4x2	Inner	0.042118
8	M26	4x2	Outer	0.042118
8	M26	4x2	Outer	0.042118
8	M26	4x2	Outer	0.042118
8	M26	4x2	Outer	0.048135
8	M26	4x2	Inner	0.054152
8	M26	4x2	Inner	0.054152
8	M26	4x2	Inner	0.054152
8	M26	4x2	Outer	0.054152
8	M26	4x2	Outer	0.060168
8	M26	4x2	Outer	0.060168
8	M26	4x2	Inner	0.060168
8	M26	4x2	Outer	0.060168
8	M26	4x2	Inner	0.120337
8	M26	4x2	Inner	0.120337
8	M26	4x2	Outer	0.120337
8	M26	4x2	Inner	0.120337
8	M26	4x2	Inner	0.120337
8	M26	4x2	Inner	0.180505
8	M26	4x2	Inner	0.180505
8	M26	4x2	Inner	0.180505
8	M26	4x2	Outer	0.180505
8	M26	4x2	Inner	0.180505
8	M26	4x2	Inner	0.240674
8	M26	4x2	Inner	0.240674
8	M26	4x2	Inner	0.240674
8	M26	4x2	Outer	0.300842
8	M26	4x2	Inner	0.300842
8	M26	4x2	Inner	0.421179
8	M26	4x2	Inner	0.541516
