Day	Temp06	Temp15
19770822	100	231
19770823	114	210
19770824	114	206
19770825	121	215
19770826	115	216
19770827	110	226
19770828	113	223
19770829	134	232
19770830	130	227
19770831	98	232
19770901	100	224
19770902	110	249
19770903	120	253
19770904	84	244
19770905	110	201
19770906	140	186
19770907	156	221
19770908	130	220
19770909	120	226
19770910	80	258
19770911	60	237
19770912	51	229
19770913	180	260
19770914	90	230
19770915	80	200
19770916	105	208
19770917	130	210
19770918	110	216
19770919	110	247
19770920	130	206
19770921	160	215
19770922	140	228
19770923	120	240
19770924	150	228
19770925	170	195
19770926	160	200
19770927	170	233
19770928	140	234
19770929	160	250
19770930	121	265
19771001	160	271
19771002	210	250
19771003	170	250
19771004	170	260
19771005	210	271
19771006	190	271
19771007	170	229
19771008	160	235
19771009	140	237
19771010	160	237
19771011	140	246
19771012	150	240
19771013	150	242
19771014	152	240
19771015	120	254
19771016	141	255
19771017	160	230
19771018	180	260
19771019	180	228
19771020	150	241
19771021	170	248
19771022	170	250
19771023	170	236
19771024	180	232
19771025	190	234
19771026	170	220
19771027	160	241
19771028	160	246
19771029	160	250
19771030	180	264
19771031	200	264
19771101	210	261
19771102	200	280
19771103	240	276
19771104	201	266
19771105	220	262
19771106	210	250
19771107	210	268
19771108	200	267
19771109	210	264
19771110	200	270
19771111	210	281
19771112	210	270
19771113	230	269
19771114	220	263
19771115	220	228
19771116	190	242
19771117	200	244
19771118	200	237
19771119	210	253
19771120	220	265
19771121	230	260
19771122	200	263
19771123	190	266
19771124	200	270
19771125	220	270
19771126	200	256
19771127	180	262
19771128	180	250
19771129	190	251
19771130	200	266
19771201	210	266
19771202	220	252
19771203	210	295
19771204	220	308
19771205	220	275
19771206	220	274
19771207	220	276
19771208	220	270
19771209	210	277
19771210	200	274
19771211	190	285
19771212	210	235
19771213	200	264
19771214	200	266
19771215	200	271
19771216	210	293
19771217	200	302
19771218	240	285
19771219	220	263
19771220	211	250
19771221	210	260
19771222	194	263
19771223	200	279
19771224	200	260
19771225	210	267
19771226	190	272
19771227	210	275
19771228	200	278
19771229	174	255
19771230	182	264
19771231	190	263
19780101	180	265
19780102	190	270
19780103	220	275
19780104	220	281
19780105	220	288
19780106	220	277
19780107	220	310
19780108	250	305
19780109	230	286
19780110	230	284
19780111	230	292
19780112	234	242
19780113	220	286
19780114	230	286
19780115	225	281
19780116	240	256
19780117	222	284
19780118	240	285
19780119	221	300
19780120	240	256
19780121	220	252
19780122	220	290
19780123	230	285
19780124	220	291
19780125	240	295
19780126	230	285
19780127	230	280
19780128	240	285
19780129	230	254
19780130	230	253
19780131	250	234
19780201	220	225
19780202	220	232
19780203	220	279
19780204	210	256
19780205	210	272
19780206	220	340
19780207	230	326
19780208	220	325
19780209	260	309
19780210	250	302
19780211	250	298
19780212	230	311
19780213	230	305
19780214	220	295
19780215	230	285
19780216	210	285
19780217	210	288
19780218	220	283
19780219	210	283
19780220	215	295
19780221	210	300
19780222	210	295
19780223	230	265
19780224	220	276
19780225	220	282
19780226	210	275
19780227	220	284
19780228	210	274
19780301	220	250
19780302	206	261
19780303	200	284
19780304	200	276
19780305	200	269
19780306	181	265
19780307	182	276
19780308	190	245
19780309	200	272
19780310	212	283
19780311	210	245
19780312	200	273
19780313	200	286
19780314	200	285
19780315	210	242
19780316	200	211
19780317	200	215
19780318	191	263
19780319	220	264
19780320	210	284
19780321	230	284
19780322	240	271
19780323	210	245
19780324	207	284
19780325	200	262
19780326	210	294
19780327	200	268
19780328	210	280
19780329	220	279
19780330	220	278
19780331	210	268
19780401	212	208
19780402	200	190
19780403	170	250
19780404	150	253
19780405	183	260
19780406	180	231
19780407	170	260
19780408	180	273
19780409	210	245
19780410	210	270
19780411	204	280
19780412	213	284
19780413	210	275
19780414	190	247
19780415	190	252
19780416	170	257
19780417	150	267
19780418	170	266
19780419	173	262
19780420	161	265
19780421	170	259
19780422	170	271
19780423	170	311
19780424	190	255
19780425	185	264
19780426	191	301
19780427	160	220
19780428	120	230
19780429	140	244
19780430	154	248
19780501	150	248
19780502	161	239
19780503	170	200
19780504	170	244
19780505	170	245
19780506	160	234
19780507	170	235
19780508	160	226
19780509	170	237
19780510	180	252
19780511	180	191
19780512	130	165
19780513	60	200
19780514	90	224
19780515	102	226
19780516	145	220
19780517	150	200
19780518	162	172
19780519	160	185
19780520	120	203
19780521	150	196
19780522	144	239
19780523	130	212
19780524	136	196
19780525	121	230
19780526	104	225
19780527	140	200
19780528	142	223
19780529	140	227
19780530	145	230
19780531	164	225
19780601	173	190
19780602	160	206
19780603	110	183
19780604	84	188
19780605	106	198
19780606	140	230
19780607	110	213
19780608	93	197
19780609	90	208
19780610	50	203
19780611	130	182
19780612	124	190
19780613	132	138
19780614	120	156
19780615	80	145
19780616	120	178
19780617	104	204
19780618	120	196
19780619	100	180
19780620	124	212
19780621	116	194
19780622	90	192
19780623	60	195
19780624	70	197
19780625	100	224
19780626	101	193
19780627	130	168
19780628	110	193
19780629	140	183
19780630	120	210
19780701	100	203
19780702	120	191
19780703	130	176
19780704	110	172
19780705	60	175
19780706	120	186
19780707	117	155
19780708	60	169
19780709	120	166
19780710	140	164
19780711	110	145
19780712	61	167
19780713	50	172
19780714	61	170
19780715	100	192
19780716	104	202
19780717	120	210
19780718	70	223
19780719	90	237
19780720	80	214
19780721	110	229
19780722	70	250
19780723	130	271
19780724	120	215
19780725	91	200
19780726	71	193
19780727	120	202
19780728	100	184
19780729	60	193
19780730	83	208
19780731	100	206
19780801	110	210
19780802	110	202
19780803	140	204
19780804	140	203
19780805	140	204
19780806	160	212
19780807	160	208
19780808	170	210
19780809	125	123
19780810	85	169
19780811	107	186
19780812	130	202
19780813	110	172
19780814	50	176
19780815	90	208
19780816	70	203
19780817	50	188
19780818	80	154
19780819	110	130
19780820	110	213
19780821	110	211
19780822	90	223
19780823	130	151
19780824	95	198
19780825	90	195
19780826	80	223
19780827	80	201
19780828	130	186
19780829	140	154
19780830	122	201
19780831	140	160
19780901	130	211
19780902	130	202
19780903	120	209
19780904	154	195
19780905	160	217
19780906	160	199
19780907	170	178
19780908	140	190
19780909	110	205
19780910	121	225
19780911	130	222
19780912	110	219
19780913	150	246
19780914	120	180
19780915	60	184
19780916	90	204
19780917	110	216
19780918	100	228
19780919	120	250
19780920	100	210
19780921	130	207
19780922	130	225
19780923	180	255
19780924	140	220
19780925	170	206
19780926	140	217
19780927	170	217
19780928	180	235
19780929	200	246
19780930	160	197
19781001	150	221
19781002	150	215
19781003	140	229
19781004	140	252
19781005	160	236
19781006	160	220
19781007	140	221
19781008	140	203
19781009	160	212
19781010	150	200
19781011	140	223
19781012	150	226
19781013	160	240
19781014	160	233
19781015	180	194
19781016	190	239
19781017	210	236
19781018	200	275
19781019	150	215
19781020	150	216
19781021	180	218
19781022	180	212
19781023	170	239
19781024	170	232
19781025	170	230
19781026	170	234
19781027	190	227
19781028	170	238
19781029	190	239
19781030	210	236
19781031	190	248
19781101	200	206
19781102	185	214
19781103	200	227
19781104	170	195
19781105	190	220
19781106	190	250
19781107	200	230
19781108	190	260
19781109	220	286
19781110	230	236
19781111	230	262
19781112	210	225
19781113	180	236
19781114	180	241
19781115	190	240
19781116	180	242
19781117	180	236
19781118	180	245
19781119	210	243
19781120	200	250
19781121	190	250
19781122	190	276
19781123	200	270
19781124	220	264
19781125	210	263
19781126	200	256
19781127	230	264
19781128	210	263
19781129	210	266
19781130	230	274
19781201	220	250
19781202	210	265
19781203	240	272
19781204	250	220
19781205	230	294
19781206	180	274
19781207	200	277
19781208	210	271
19781209	200	259
19781210	210	253
19781211	200	273
19781212	200	278
19781213	221	270
19781214	210	222
19781215	210	266
19781216	220	258
19781217	230	258
19781218	190	275
19781219	220	282
19781220	200	280
19781221	220	244
19781222	230	270
19781223	226	248
19781224	200	275
19781225	230	272
19781226	240	273
19781227	214	269
19781228	210	271
19781229	230	290
19781230	220	250
19781231	200	254
19790101	210	263
19790102	200	277
19790103	210	280
19790104	220	275
19790105	210	280
19790106	220	273
19790107	220	276
19790108	230	285
19790109	230	299
19790110	240	282
19790111	230	285
19790112	240	285
19790113	220	295
19790114	240	280
19790115	220	297
19790116	240	297
19790117	260	310
19790118	260	274
19790119	220	246
19790120	212	291
19790121	220	319
19790122	250	244
19790123	220	220
19790124	230	270
19790125	230	275
19790126	220	282
19790127	230	286
19790128	210	239
19790129	230	225
19790130	200	274
19790131	220	277
19790201	220	259
19790202	220	271
19790203	210	240
19790204	200	268
19790205	230	272
19790206	220	249
19790207	220	255
19790208	230	234
19790209	210	210
19790210	210	280
19790211	210	275
19790212	210	284
19790213	210	285
19790214	210	290
19790215	220	304
19790216	250	303
19790217	250	235
19790218	210	266
19790219	200	263
19790220	230	266
19790221	230	267
19790222	210	272
19790223	200	266
19790224	210	260
19790225	210	277
19790226	210	271
19790227	200	273
19790228	200	292
19790301	230	273
19790302	220	263
19790303	210	279
19790304	230	252
19790305	200	217
19790306	230	282
19790307	210	266
19790308	240	259
19790309	210	267
19790310	220	272
19790311	210	262
19790312	210	284
19790313	210	283
19790314	190	266
19790315	190	264
19790316	200	213
19790317	200	261
19790318	170	293
19790319	220	267
19790320	200	271
19790321	190	278
19790322	200	303
19790323	220	290
19790324	213	326
19790325	210	251
19790326	180	254
19790327	190	261
19790328	180	273
19790329	210	246
19790330	190	232
19790331	190	237
19790401	180	260
19790402	180	264
19790403	200	275
19790404	190	277
19790405	190	273
19790406	190	278
19790407	210	260
19790408	210	278
19790409	200	254
19790410	210	240
19790411	170	236
19790412	170	241
19790413	160	233
19790414	180	237
19790415	190	233
19790416	173	212
19790417	170	236
19790418	190	244
19790419	170	242
19790420	140	261
19790421	150	271
19790422	170	267
19790423	170	271
19790424	180	262
19790425	220	270
19790426	190	261
19790427	190	272
19790428	200	233
19790429	170	245
19790430	180	252
19790501	170	252
19790502	170	252
19790503	170	239
19790504	178	243
19790505	186	241
19790506	200	211
19790507	180	235
19790508	130	226
19790509	150	228
19790510	120	217
19790511	124	202
19790512	110	202
19790513	100	196
19790514	160	161
19790515	140	195
19790516	125	203
19790517	130	210
19790518	120	211
19790519	140	215
19790520	130	220
19790521	145	206
19790522	122	213
19790523	130	215
19790524	130	224
19790525	130	234
19790526	135	229
19790527	134	244
19790528	170	224
19790529	120	222
19790530	150	230
19790531	130	222
19790601	110	218
19790602	130	203
19790603	140	220
19790604	130	217
19790605	121	196
19790606	150	205
19790607	155	225
19790608	140	218
19790609	126	224
19790610	120	223
19790611	125	222
19790612	130	215
19790613	136	189
19790614	110	227
19790615	107	217
19790616	87	218
19790617	120	214
19790618	140	216
19790619	170	207
19790620	170	187
19790621	180	166
19790622	136	201
19790623	142	225
19790624	160	224
19790625	150	214
19790626	160	212
19790627	164	195
19790628	132	219
19790629	140	207
19790630	100	201
19790701	49	195
19790702	60	221
19790703	104	231
19790704	110	201
19790705	90	191
19790706	87	151
19790707	103	192
19790708	113	200
19790709	110	221
19790710	90	213
19790711	100	206
19790712	80	226
19790713	79	228
19790714	90	213
19790715	130	182
19790716	120	192
19790717	114	158
19790718	105	192
19790719	135	197
19790720	120	202
19790721	120	203
19790722	130	215
19790723	125	230
19790724	105	202
19790725	110	163
19790726	120	206
19790727	80	182
19790728	87	177
19790729	116	103
19790730	130	175
19790731	134	206
19790801	80	210
19790802	100	208
19790803	101	188
19790804	80	195
19790805	90	195
19790806	110	192
19790807	134	222
19790808	145	238
19790809	125	247
19790810	46	209
19790811	80	203
19790812	120	205
19790813	105	180
19790814	94	181
19790815	70	184
19790816	100	207
19790817	105	223
19790818	115	219
19790819	155	230
19790820	140	268
19790821	110	244
19790822	150	205
19790823	150	205
19790824	130	200
19790825	110	193
19790826	110	211
19790827	110	210
19790828	160	225
19790829	100	210
19790830	123	233
19790831	160	237
19790901	130	190
19790902	90	209
19790903	115	210
19790904	120	219
19790905	140	242
19790906	160	256
19790907	130	250
19790908	129	237
19790909	125	240
19790910	160	237
19790911	140	232
19790912	160	241
19790913	80	248
19790914	130	218
19790915	130	208
19790916	120	217
19790917	110	225
19790918	110	234
19790919	178	219
19790920	140	269
19790921	140	209
19790922	120	218
19790923	140	234
19790924	154	226
19790925	150	219
19790926	150	206
19790927	150	216
19790928	130	228
19790929	110	234
19790930	180	199
19791001	140	216
19791002	140	207
19791003	120	230
19791004	140	162
19791005	150	220
19791006	170	264
19791007	160	255
19791008	200	300
19791009	150	243
19791010	170	242
19791011	160	249
19791012	191	313
19791013	217	291
19791014	152	217
19791015	150	237
19791016	180	229
19791017	180	232
19791018	170	245
19791019	180	243
19791020	200	210
19791021	180	233
19791022	170	236
19791023	180	240
19791024	160	247
19791025	180	231
19791026	170	226
19791027	170	250
19791028	170	235
19791029	180	237
19791030	160	234
19791031	160	221
19791101	150	243
19791102	180	238
19791103	190	240
19791104	170	237
19791105	160	249
19791106	170	248
19791107	190	257
19791108	200	255
19791109	180	189
19791110	180	232
19791111	190	264
19791112	200	246
19791113	189	284
19791114	220	257
19791115	240	272
19791116	230	285
19791117	200	278
19791118	220	252
19791119	220	279
19791120	210	278
19791121	210	283
19791122	210	270
19791123	220	260
19791124	240	275
19791125	220	290
19791126	240	260
19791127	210	260
19791128	220	278
19791129	220	242
19791130	230	290
19791201	230	290
19791202	210	317
19791203	240	291
19791204	233	288
19791205	220	294
19791206	230	303
19791207	230	268
19791208	234	300
19791209	225	297
19791210	240	300
19791211	220	370
19791212	236	273
19791213	240	306
19791214	245	276
19791215	250	298
19791216	220	300
19791217	260	327
19791218	230	287
19791219	226	284
19791220	240	292
19791221	220	295
19791222	220	301
19791223	230	305
19791224	210	298
19791225	230	286
19791226	220	295
19791227	230	277
19791228	230	265
19791229	200	265
19791230	200	270
19791231	190	277
19800101	210	282
19800102	220	284
19800103	220	292
19800104	211	283
19800105	230	280
19800106	210	227
19800107	210	223
19800108	210	281
19800109	200	268
19800110	200	288
19800111	240	277
19800112	230	292
19800113	210	317
19800114	223	343
19800115	210	290
19800116	220	285
19800117	223	267
19800118	196	284
19800119	230	325
19800120	251	231
19800121	240	286
19800122	231	294
19800123	244	301
19800124	240	303
19800125	250	294
19800126	230	327
19800127	230	309
19800128	220	289
19800129	234	298
19800130	250	282
19800131	250	303
19800201	240	296
19800202	240	289
19800203	234	300
19800204	254	272
19800205	233	272
19800206	230	303
19800207	239	253
19800208	220	282
19800209	202	284
19800210	220	216
19800211	210	246
19800212	210	272
19800213	220	263
19800214	210	251
19800215	200	276
19800216	210	285
19800217	222	255
19800218	220	261
19800219	220	280
19800220	230	284
19800221	204	288
19800222	184	302
19800223	230	290
19800224	230	285
19800225	250	257
19800226	226	246
19800227	210	260
19800228	215	299
19800229	210	269
19800301	200	274
19800302	186	277
19800303	190	283
19800304	187	292
19800305	210	279
19800306	231	283
19800307	210	266
19800308	202	268
19800309	210	292
19800310	230	218
19800311	190	223
19800312	180	212
19800313	184	262
19800314	170	280
19800315	180	281
19800316	180	281
19800317	192	285
19800318	195	276
19800319	191	279
19800320	190	274
19800321	210	281
19800322	190	284
19800323	190	281
19800324	180	278
19800325	173	228
19800326	220	286
19800327	192	293
19800328	203	290
19800329	192	301
19800330	210	298
19800331	162	292
19800401	200	265
19800402	190	267
19800403	190	273
19800404	190	292
19800405	203	279
19800406	190	273
19800407	180	278
19800408	172	258
19800409	172	256
19800410	172	248
19800411	170	255
19800412	170	248
19800413	173	238
19800414	172	246
19800415	190	245
19800416	180	216
19800417	171	257
19800418	170	230
19800419	180	233
19800420	170	240
19800421	152	253
19800422	170	263
19800423	180	261
19800424	190	260
19800425	170	268
19800426	170	262
19800427	182	260
19800428	180	236
19800429	161	240
19800430	160	246
19800501	170	239
19800502	160	226
19800503	166	226
19800504	170	240
19800505	170	205
19800506	170	174
19800507	200	205
19800508	200	197
19800509	200	242
19800510	200	257
19800511	190	259
19800512	200	286
19800513	160	257
19800514	180	230
19800515	170	214
19800516	160	236
19800517	160	244
19800518	150	220
19800519	150	230
19800520	140	229
19800521	150	211
19800522	140	191
19800523	140	171
19800524	140	235
19800525	144	228
19800526	180	200
19800527	170	198
19800528	171	225
19800529	160	205
19800530	120	221
19800531	130	227
19800601	130	250
19800602	150	231
19800603	120	210
19800604	80	201
19800605	110	195
19800606	90	212
19800607	100	215
19800608	110	217
19800609	120	222
19800610	150	236
19800611	110	194
19800612	80	196
19800613	83	191
19800614	82	210
19800615	120	208
19800616	150	196
19800617	150	242
19800618	97	192
19800619	90	209
19800620	140	203
19800621	130	211
19800622	140	208
19800623	140	197
19800624	122	209
19800625	131	185
19800626	143	206
19800627	130	213
19800628	180	209
19800629	130	195
19800630	120	196
19800701	60	190
19800702	110	185
19800703	150	200
19800704	120	206
19800705	101	190
19800706	70	187
19800707	60	172
19800708	30	190
19800709	120	189
19800710	80	187
19800711	90	194
19800712	100	212
19800713	90	203
19800714	100	197
19800715	110	189
19800716	140	214
19800717	100	214
19800718	97	212
19800719	90	203
19800720	71	209
19800721	50	203
19800722	80	188
19800723	76	198
19800724	100	193
19800725	100	186
19800726	130	179
19800727	121	198
19800728	142	224
19800729	140	215
19800730	160	175
19800731	130	132
19800801	110	186
19800802	70	195
19800803	50	206
19800804	90	207
19800805	110	200
19800806	120	187
19800807	132	212
19800808	120	236
19800809	120	224
19800810	130	211
19800811	120	206
19800812	111	242
19800813	100	235
19800814	150	220
19800815	162	272
19800816	110	191
19800817	120	190
19800818	130	202
19800819	140	207
19800820	140	204
19800821	150	226
19800822	132	217
19800823	151	230
19800824	130	215
19800825	140	220
19800826	150	191
19800827	92	196
19800828	110	217
19800829	100	217
19800830	90	230
19800831	81	272
19800901	130	262
19800902	120	240
19800903	120	259
19800904	120	218
19800905	110	278
19800906	130	225
19800907	112	235
19800908	130	276
19800909	190	333
19800910	120	257
19800911	112	230
19800912	110	271
19800913	140	235
19800914	150	234
19800915	150	250
19800916	160	242
19800917	160	246
19800918	190	267
19800919	100	220
19800920	113	245
19800921	132	284
19800922	90	255
19800923	142	249
19800924	141	240
19800925	130	242
19800926	130	244
19800927	160	238
19800928	140	239
19800929	150	235
19800930	140	237
19801001	134	244
19801002	132	247
19801003	134	249
19801004	170	250
19801005	190	225
19801006	180	240
19801007	140	266
19801008	180	252
19801009	200	214
19801010	200	256
19801011	190	228
19801012	180	250
19801013	200	276
19801014	191	189
19801015	150	241
19801016	160	237
19801017	160	236
19801018	180	180
19801019	160	257
19801020	190	251
19801021	218	285
19801022	190	270
19801023	190	246
19801024	200	237
19801025	200	215
19801026	190	228
19801027	190	257
19801028	190	278
19801029	190	240
19801030	180	287
19801031	150	273
19801101	150	283
19801102	150	290
19801103	190	338
19801104	180	230
19801105	200	250
19801106	230	275
19801107	240	290
19801108	190	252
19801109	200	235
19801110	180	225
19801111	180	238
19801112	170	250
19801113	190	255
19801114	200	265
19801115	200	271
19801116	230	271
19801117	210	271
19801118	210	269
19801119	200	277
19801120	210	267
19801121	210	277
19801122	210	272
19801123	210	240
19801124	180	260
19801125	200	246
19801126	200	253
19801127	210	280
19801128	210	299
19801129	220	284
19801130	230	283
19801201	230	252
19801202	210	248
19801203	230	252
19801204	222	256
19801205	230	245
19801206	201	220
19801207	190	256
19801208	200	254
19801209	200	255
19801210	200	252
19801211	190	266
19801212	200	271
19801213	210	275
19801214	210	220
19801215	210	276
19801216	220	274
19801217	210	299
19801218	180	302
19801219	200	283
19801220	210	293
19801221	210	278
19801222	200	277
19801223	200	267
19801224	220	282
19801225	210	275
19801226	221	273
19801227	240	264
19801228	220	272
19801229	210	260
19801230	210	250
19801231	200	216
19810101	220	248
19810102	230	269
19810103	210	260
19810104	223	270
19810105	220	280
19810106	220	251
19810107	210	277
19810108	220	284
19810109	210	273
19810110	200	266
19810111	200	277
19810112	210	274
19810113	210	234
19810114	200	261
19810115	200	275
19810116	210	281
19810117	211	274
19810118	220	283
19810119	230	296
19810120	240	296
19810121	220	285
19810122	220	291
19810123	220	298
19810124	230	295
19810125	230	296
19810126	230	295
19810127	210	291
19810128	210	295
19810129	220	306
19810130	240	300
19810131	230	277
19810201	230	309
19810202	210	277
19810203	220	248
19810204	240	281
19810205	250	288
19810206	250	280
19810207	240	273
19810208	250	276
19810209	254	304
19810210	260	300
19810211	230	295
19810212	240	295
19810213	240	255
19810214	250	285
19810215	260	260
19810216	250	285
19810217	241	287
19810218	212	285
19810219	222	298
19810220	230	239
19810221	220	275
19810222	230	301
19810223	240	286
19810224	210	279
19810225	221	291
19810226	203	282
19810227	210	250
19810228	240	262
19810301	220	273
19810302	214	294
19810303	214	297
19810304	224	300
19810305	220	286
19810306	210	285
19810307	200	282
19810308	190	276
19810309	190	276
19810310	210	298
19810311	230	283
19810312	210	273
19810313	190	276
19810314	190	291
19810315	194	271
19810316	194	261
19810317	183	276
19810318	190	274
19810319	180	276
19810320	190	288
19810321	190	308
19810322	211	295
19810323	216	284
19810324	209	282
19810325	201	286
19810326	215	283
19810327	201	271
19810328	187	255
19810329	192	NA
19810330	186	218
19810331	210	255
19810401	202	208
19810402	196	235
19810403	195	254
19810404	204	259
19810405	198	238
19810406	192	261
19810407	201	228
19810408	205	260
19810409	202	223
19810410	200	277
19810411	188	240
19810412	170	255
19810413	150	278
19810414	141	308
19810415	150	256
19810416	139	275
19810417	159	273
19810418	171	261
19810419	173	258
19810420	176	251
19810421	168	260
19810422	171	266
19810423	172	277
19810424	189	258
19810425	171	267
19810426	176	257
19810427	164	244
19810428	152	263
19810429	121	258
19810430	161	233
19810501	149	234
19810502	170	232
19810503	168	241
19810504	159	242
19810505	150	240
19810506	144	247
19810507	134	281
19810508	121	216
19810509	113	247
19810510	114	232
19810511	126	231
19810512	130	228
19810513	150	225
19810514	168	211
19810515	150	209
19810516	151	230
19810517	166	233
19810518	160	225
19810519	162	200
19810520	150	191
19810521	180	173
19810522	185	228
19810523	152	206
19810524	124	196
19810525	110	206
19810526	100	203
19810527	97	206
19810528	115	229
19810529	122	223
19810530	148	225
19810531	154	235
19810601	191	192
19810602	168	210
19810603	142	197
19810604	100	186
19810605	91	224
19810606	120	158
19810607	116	167
19810608	82	196
19810609	74	200
19810610	89	181
19810611	148	192
19810612	114	191
19810613	80	200
19810614	74	175
19810615	127	201
19810616	90	198
19810617	71	187
19810618	98	196
19810619	106	174
19810620	95	199
19810621	144	202
19810622	113	212
19810623	117	212
19810624	123	169
19810625	39	172
19810626	50	170
19810627	68	228
19810628	71	212
19810629	112	231
19810630	133	211
19810701	158	235
19810702	165	253
19810703	166	200
19810704	71	199
19810705	118	177
19810706	62	181
19810707	84	173
19810708	61	179
19810709	64	192
19810710	69	172
19810711	56	182
19810712	34	200
19810713	64	195
19810714	68	192
19810715	110	197
19810716	98	196
19810717	129	191
19810718	117	196
19810719	132	205
19810720	140	194
19810721	138	202
19810722	159	210
19810723	106	224
19810724	174	235
19810725	100	195
19810726	103	216
19810727	77	193
19810728	89	205
19810729	148	173
19810730	72	181
19810731	62	190
19810801	78	192
19810802	90	199
19810803	85	227
19810804	98	279
19810805	122	212
19810806	94	212
19810807	84	206
19810808	91	194
19810809	132	225
19810810	100	183
19810811	80	190
19810812	44	182
19810813	90	205
19810814	124	232
19810815	117	225
19810816	52	200
19810817	62	255
19810818	170	224
19810819	106	227
19810820	92	228
19810821	120	258
19810822	69	214
19810823	64	232
19810824	112	184
19810825	128	142
19810826	128	198
19810827	90	207
19810828	147	200
19810829	55	200
19810830	66	212
19810831	72	226
19810901	91	213
19810902	91	217
19810903	120	210
19810904	128	210
19810905	113	205
19810906	132	206
19810907	120	203
19810908	130	215
19810909	115	225
19810910	122	242
19810911	120	226
19810912	134	227
19810913	149	242
19810914	148	220
19810915	148	229
19810916	145	245
19810917	135	246
19810918	128	233
19810919	127	231
19810920	128	250
19810921	160	234
19810922	136	241
19810923	150	248
19810924	174	256
19810925	198	247
19810926	156	242
19810927	224	259
19810928	139	216
19810929	130	234
19810930	135	232
19811001	130	237
19811002	120	240
19811003	184	246
19811004	140	129
19811005	91	216
19811006	123	220
19811007	142	223
19811008	142	235
19811009	150	236
19811010	145	240
19811011	162	241
19811012	158	238
