Time	Blue	BlueSD	Red	RedSD
314.6039	0.1066	0.2512	-0.393	0.2238
315.4668	0.4125	0.08305	0.2764	0.08881
316.4994	-0.1528	0.07739	-0.01463	0.07926
316.6567	-0.2601	0.09868	-0.1721	0.09829
318.5558	-0.09218	0.1202	-0.49	0.1219
318.6804	0.7187	0.09033	0.5675	0.08377
324.5894	-0.07018	0.2034	-0.1282	0.2019
324.5941	-0.07701	0.201	-0.534	0.2061
324.7176	1.082	0.1486	0.6233	0.1379
325.6433	1.266	0.05078	0.7014	0.04855
326.4927	-0.3151	0.04518	-0.1946	0.04519
341.643	-0.07615	0.1681	0.1836	0.1546
342.478	0.5922	0.1556	0.01391	0.1464
342.6168	-0.5102	0.1477	0.01485	0.1344
343.4732	0.2589	0.1001	0.06856	0.09858
343.5964	-0.2295	0.1049	-0.2042	0.09448
344.694	0.2257	0.1153	0.1535	0.09592
351.5233	-0.06846	0.1123	-0.3183	0.1209
361.4724	1.218	0.07054	0.7298	0.06521
361.4959	1.144	0.06817	0.5517	0.06115
361.6452	0.08642	0.1012	0.01391	0.09815
362.5021	0.3391	0.05162	0.219	0.04595
362.6212	-0.159	-7.745	-0.06071	0.04273
362.6907	-0.2245	-0.04699	-0.1751	0.03825
364.4857	-0.1536	0.03777	-0.04764	0.03753
364.6138	-0.2035	0.05183	-0.1991	0.05501
364.664	-0.1629	0.03299	-0.1362	0.03479
365.4777	-0.1613	0.06366	-0.1161	0.05911
365.6158	-0.2573	0.06109	-0.2064	0.06527
365.6687	1.297	0.06556	0.7378	0.05961
366.5008	-0.08547	0.06528	-0.1621	-0.06284
366.6068	1.212	0.0987	0.5951	0.09807
372.5111	-0.06503	0.2079	0.2224	0.1742
373.4478	-0.1621	0.06209	-0.2005	0.05635
373.5619	0.3983	0.07971	0.2325	0.06807
375.45	1.251	0.05375	0.7523	0.04861
375.5598	0.2023	0.06105	0.1366	0.05271
375.6829	0.0404	0.09882	-0.04148	0.07536
376.4791	3.682	-3.515	-2.506	-30000
377.4639	-0.1194	0.07723	0	0.07229
377.6433	-0.4956	0.4489	0.01953	0.4463
378.4531	-0.07104	0.03822	-0.05637	0.04376
378.6447	-0.317	0.07234	-0.159	0.07146
379.4507	-0.1386	0.04911	-0.103	0.04476
380.5461	0.4682	0.1114	0.3038	0.1179
380.6381	0.5588	0.06144	0.3026	0.0627
381.4436	-0.1976	0.04004	-0.2601	0.03823
383.4594	0.2776	0.03853	0.1158	0.03734
383.6436	-0.03528	0.07585	-0.08799	0.06675
384.4539	0.2847	0.1396	0.09245	0.1267
384.6212	-0.1274	0.05914	-0.08547	0.06034
387.5336	NA	NA	0.21	0.0831
387.6246	0.2123	-0.03363	0.2741	0.03433
388.623	0.1781	0.1313	0.1282	0.1267
391.6284	-0.2776	0.2484	-0.05637	0.2385
391.7612	0.5849	0.2884	0.2706	0.3024
392.4481	-0.129	0.03209	-0.08631	-0.057
392.5792	-0.1574	0.03981	-0.1185	0.0432
393.4518	-0.05551	0.06231	-0.2216	0.05627
393.6072	1.274	0.05774	0.6672	0.05028
395.4675	1.194	0.05076	0.7848	0.0481
395.6053	0.03466	0.03462	-0.03083	0.03488
397.5396	-0.1819	0.09937	0.2112	0.09303
398.4574	-0.141	0.0769	0.1272	0.0764
398.5982	-0.1202	0.04859	-0.03972	0.04792
401.4486	-0.05376	0.2026	-0.202	0.1452
402.4798	0.7997	0.08662	0.5603	0.07099
402.5172	0.311	0.08531	0.2508	0.06574
406.4492	-0.1804	0.06147	-0.06157	0.0577
408.4699	0.07646	0.1111	-0.04852	0.09818
409.4456	1.17	0.08179	0.6323	0.07426
409.5634	0.1046	0.09386	0.1588	0.09006
411.4949	-0.09635	0.0809	-0.1441	0.0774
412.5735	-0.1961	-0.08222	-0.1386	0.05761
413.6518	0.9266	-0.1462	0.5276	-0.1215
414.4313	-0.1652	0.04388	-0.1013	0.03931
414.6623	0.188	0.05197	0.2359	0.04978
417.492	0.07746	0.05186	0.06267	0.05209
417.6938	1.063	-1.22	0.07746	0.9052
418.6346	0.4322	0.5544	-0.06416	0.5664
419.4506	-0.1242	0.04603	-0.1218	0.0446
420.448	-0.1402	0.03241	-0.1789	0.03095
420.5493	-0.2393	0.05981	-0.1781	0.05793
421.4581	-0.05985	0.0816	-0.09801	0.07173
421.6132	0.6842	0.2308	0.6858	-0.2078
422.4321	-0.03706	0.0455	0.01111	0.04247
422.5381	0.4468	0.04963	0.3305	0.04902
423.5893	0.5011	-0.3463	0.4534	-0.3193
423.6027	-0.06846	0.2038	-0.05637	-0.1839
425.4282	-0.1322	0.08479	0.1366	0.07703
425.5317	-0.2302	0.07452	-0.1543	0.07032
426.4333	-0.0804	0.1167	-0.05376	0.09591
426.5862	-0.2093	0.1272	-0.06675	0.1287
427.5919	1.216	0.1086	0.7898	-0.09248
428.4244	-0.1112	0.08037	-0.1258	0.06715
430.5342	0.1641	0.1382	0.1251	0.09868
432.6607	0.9055	-0.2821	-0.2344	0.1541
435.4159	-0.2266	0.06853	-0.1457	0.06717
436.4257	1.255	0.05554	0.6749	0.0478
436.5634	0.2348	0.07481	0.1036	0.06587
437.4087	0.733	0.05085	0.4942	0.04751
438.4115	0.2012	0.0382	0.1684	0.03812
438.5918	-0.2386	-0.07718	-0.2287	0.06274
439.4098	-0.03706	0.05318	-0.05637	0.05127
441.5087	-0.1894	0.04116	-0.2057	-0.04104
441.641	0.328	0.07334	0.3354	0.06427
442.4852	1.297	0.05148	0.803	0.04718
442.6292	0.1005	0.04911	0.05003	0.04138
444.4035	0.7652	0.07568	0.4441	0.07078
444.5451	0.08442	0.09609	-0.003678	0.08014
445.4655	-0.06071	0.03222	-0.008255	0.03402
446.4193	0.0539	0.06385	-0.05811	0.06129
446.5605	-0.2614	0.04145	-0.1457	0.03962
451.3998	0.4737	0.05681	0.3317	-0.05363
451.5387	0.1978	0.1367	0.12	0.1278
452.391	0.2694	0.08718	0.189	-0.1129
452.6517	-0.1781	0.1586	-0.3508	0.1343
453.4415	-0.1473	0.08332	-0.2266	0.08122
453.5864	-0.04764	0.09827	-0.1924	0.08039
454.4315	-0.5366	0.1056	-0.02725	0.1173
454.5656	-5.388	-2115	-5.557	-1643
455.6552	0.2045	-0.1739	0.03657	0.125
457.498	0.2497	0.07459	0.01859	0.05625
459.4674	-0.4176	0.3016	-0.169	0.2123
460.3915	-0.6646	0.4508	0.05003	-0.3852
460.5107	0.8348	0.3862	-0.6523	0.2588
461.4303	-0.04852	0.1653	-0.2477	0.13
462.4145	-0.2525	0.1093	-0.141	0.09806
463.4214	0.9588	0.08399	0.5374	0.0808
463.5392	0.05584	0.1234	0.1251	0.1038
464.5412	0.001842	0.08513	-0.077	0.07424
465.435	0.05002	0.03602	0.02802	0.03875
466.4366	-0.09801	0.03946	-0.1496	0.04243
469.4124	0.01111	0.2332	-0.6247	0.2458
470.3807	-0.2628	0.03613	-0.1759	0.03967
471.3838	0.6703	0.04501	0.4348	0.04563
472.3809	0.188	0.04075	0.1366	0.04577
473.384	-0.06846	0.03913	0	0.04462
473.4902	-0.1314	0.0534	-0.0555	0.05048
474.386	-0.1998	0.03154	-0.1096	0.03433
474.5137	-0.2202	0.05426	-0.03172	0.04832
475.3798	-0.1759	0.03319	-0.2245	0.03596
475.4861	-0.2655	0.04582	-0.2407	0.04396
476.3734	-0.3094	0.03629	-0.169	0.04073
476.475	1.122	0.05553	0.692	0.05102
477.3713	0.00554	0.04487	-0.03528	0.04814
477.4741	0.3627	0.0502	0.252	0.04827
478.3864	0.6504	0.05661	0.3589	0.05827
478.4909	-0.02815	0.06499	0.003691	0.06441
480.3825	-0.141	-0.04667	-0.0406	0.04957
481.5376	-0.0736	0.06362	-0.1827	0.05466
483.4636	1.233	0.09767	0.6144	0.0777
483.5678	0.2201	-0.1181	0.03944	-0.09494
484.4	1.012	0.06398	0.6749	0.05465
484.5338	-0.03883	0.1185	0.02329	0.08788
485.3856	0.4099	0.07535	0.1967	0.0629
486.4362	-0.5336	0.199	0.04136	0.179
488.4463	-0.1322	0.2584	-0.2187	0.1867
489.3907	-0.1266	0.0766	-0.2894	0.0649
491.3763	1.105	0.1013	0.6688	0.09662
492.5368	-0.3907	-0.1489	-0.2614	0.1141
494.3795	-0.08967	0.07901	-0.1306	0.08099
495.3609	-0.1652	0.1121	-0.06932	0.1122
499.3876	0.3677	0.2263	0.4296	0.2234
500.3677	0.07646	0.07102	0.1138	0.07448
501.3668	-0.2822	0.05839	-0.1961	0.0632
502.362	-0.2013	0.04056	-0.1983	0.04356
503.3626	-0.305	-0.04648	-0.1298	0.05116
504.3712	0.02235	-0.04921	0.03276	0.05153
504.8251	-0.2086	0.09975	-0.05637	-0.1233
507.4055	-0.1713	0.1584	0.005542	0.1553
508.5039	-0.2532	0.2925	0.2078	0.2609
509.4896	0.08143	-0.4973	-0.202	-0.4301
510.4249	0.08442	0.05411	0.05974	0.05101
511.3694	0.869	0.06098	0.4048	0.05658
511.821	0.1825	0.05692	0.1663	0.06233
512.3507	0.8197	0.05637	0.4764	0.05314
517.3519	-0.3423	0.4429	1.204	0.3808
517.7714	-0.1864	0.2707	-0.07103	0.2331
518.7798	0.6173	0.2795	-0.03439	0.2343
519.7637	1.134	-0.4334	0.1641	-0.3574
520.3607	0.1117	0.1208	0.06267	0.1116
520.7646	0.957	0.2753	0.189	0.2393
521.3546	0.04232	0.04742	-0.04589	0.05099
521.7825	0.01298	0.1992	-0.2914	0.1693
522.3513	0.4138	-0.516	0.188	-0.508
522.7651	-0.09385	-1.03	-0.3845	-0.8379
523.3501	0.01391	0.178	-0.1574	0.1773
527.8367	-0.1991	0.3204	-0.3638	0.33
528.7658	0.9898	-0.9809	-0.9939	-0.168
529.3496	-0.3151	0.05509	-0.003678	0.05769
529.7618	-0.06589	0.09554	-0.02366	0.08474
530.3574	-0.2027	0.07645	-0.1177	0.07257
531.351	0.5332	0.729	0.4086	0.8111
532.3784	1.549	0.4171	0.6084	0.3977
533.3553	0.1566	0.09829	0.2906	0.09913
533.8123	0.7187	0.2339	0.2156	0.2357
534.3562	0.06856	0.1601	0.2966	0.1896
538.3486	-0.07445	-0.5986	0.4642	-0.5466
538.7656	-0.3679	0.176	-0.07445	0.1497
539.3908	0.2764	0.09227	0.2439	0.08319
539.7386	-0.1667	0.1616	0.07251	0.1607
540.3529	0.1314	0.07464	0.06856	0.06474
540.7596	0.6811	0.0824	0.4022	0.07369
541.3515	-0.01463	0.08373	-0.02276	0.07772
541.7463	0.2578	0.139	0.3134	0.1248
542.4023	-0.3126	0.2167	0.1989	0.1632
542.7238	0.3677	0.2075	0.09648	0.1865
544.8412	0.1706	0.3497	-0.1298	-0.4057
546.3508	0.9552	-0.7299	0.05877	-0.7052
546.7625	1.299	0.08667	0.798	0.08338
548.7563	0.0539	0.5166	-0.001841	0.424
549.3481	-0.4713	0.157	-0.3214	0.1322
553.3529	0.4846	0.1154	0.2337	0.1183
555.741	0.3086	0.1041	0.1717	-0.09212
556.7059	-0.02276	0.1151	-0.03172	0.1043
557.3549	-0.07701	0.1442	0.03086	0.1535
557.6738	-0.0344	0.07067	-0.06157	0.06953
558.8196	-0.1418	0.0398	-0.1998	0.03922
559.7516	-0.2587	0.1846	-0.2491	0.1788
559.8354	0.8382	0.09988	0.6796	0.09725
560.6526	-0.5236	0.2862	0.3122	0.2581
560.8134	0.4282	0.1383	0.3378	0.1417
561.3657	-0.01825	-0.1094	0.1524	0.07914
561.7233	0.4777	0.1296	0.374	0.1268
562.3624	-0.08294	-0.09212	-0.1282	0.08201
563.3527	-0.2762	0.08328	-0.3245	0.07093
563.7568	0.228	0.1919	-0.3573	-0.2032
565.6417	-0.0753	0.1445	-0.228	0.1284
566.6501	-0.1346	0.09404	-0.01916	0.09138
571.664	-0.2553	0.1102	0.08143	0.09976
571.8326	-0.2358	0.06424	-0.2553	0.07006
572.6138	-0.06589	0.1152	-0.07018	0.09595
573.6482	0.04328	0.2167	0.2123	0.1939
573.8404	0.7832	0.1451	0.3753	0.1419
576.6978	0.1727	0.1339	-0.02636	0.1147
578.6115	-4.028	-1303	0.2382	0.3893
578.8405	0.01391	0.1901	NA	NA
580.6323	-0.05551	0.1684	-0.3088	0.1112
580.831	0.3329	0.09515	0.1652	0.06955
581.6309	-0.09302	0.2142	-0.2815	0.1836
585.6196	0.5374	0.3109	-0.09884	0.2576
585.8258	-0.07189	0.08055	-0.1512	0.09999
586.5983	-0.2655	0.2147	-0.3214	0.1871
586.8236	0.9427	0.2076	0.7881	0.1845
587.6096	-0.1667	0.1356	-0.3151	0.1209
587.8267	0.406	0.08267	0.1923	0.09699
588.6483	0.932	0.1033	0.5791	0.0872
589.7614	0.1781	-0.3379	0.1556	-0.3218
591.7509	-0.01735	0.2294	0.2382	0.2367
592.5896	-0.3338	0.3953	-0.03528	0.345
592.8088	-0.03883	0.1088	-0.2323	0.09887
593.576	-0.2908	-0.3281	0.4375	-0.2946
593.8075	0.9625	0.1189	0.6233	0.1086
594.5856	0.007394	0.05833	-0.1698	0.05104
595.5757	-0.3338	0.07483	-0.1038	0.05993
595.8147	0.004614	0.08354	-0.006426	0.08443
596.5923	0.932	-0.5221	0.7816	-0.47
597.683	0.1738	-0.5181	0.3158	-0.4657
597.8111	-0.1153	0.2155	-0.4664	0.2026
598.5727	0.4375	0.1878	0.1609	0.1538
599.5576	0.002765	0.08886	-0.1675	0.06923
600.5596	-0.02276	0.1241	0.05293	0.0933
601.5452	-0.2484	0.1651	-0.2151	-0.1342
602.7586	-0.001842	0.1057	0.03944	0.09305
